,company,FCFG
0,ERIBR.HE,0.3525337582842816
1,KNEBV.HE,0.15140670068825268
2,NESTE.HE,0.2179296334107539
3,NDA-FI.HE,-0.5365808729309774
4,SAMPO.HE,-0.10497960784918303
5,FORTUM.HE,0.30368923957387617
6,NOKIA.HE,-0.024649016473346386
7,UPM.HE,0.0030324837786286363
8,TELIA1.HE,0.02719836604765158
9,STEAV.HE,-0.012889438145791243
10,STERV.HE,-0.012889438145791243
11,KESKOB.HE,0.3089246898637943
12,KESKOA.HE,0.3089246898637943
13,ELISA.HE,0.03969513566970595
14,MOCORP.HE,-0.5905566824691332
15,SSABAH.HE,-0.07018912030331725
16,SSABBH.HE,1.4106315834992373
17,WRT1V.HE,0.35490844997578996
18,ORNAV.HE,0.04073233760751749
19,ORNBV.HE,-0.004855888627678717
20,VALMT.HE,0.17066269792967614
21,TYRES.HE,
22,KOJAMO.HE,
23,HUH1V.HE,0.29394525262814786
24,METSB.HE,0.15343685021545128
25,METSA.HE,0.32625669930525003
26,TIETO.HE,0.16365380727347167
27,KCR.HE,0.2073514368629621
28,CGCBV.HE,0.1728615662968429
29,SAA1V.HE,1.0646673528052588
30,QTCOM.HE,-0.695128193596187
31,OUT1V.HE,0.1996064121729897
32,AM1.HE,-0.016358081793823476
33,KEMIRA.HE,0.37370526758320666
34,NELES.HE,0.7940084502298077
35,TTALO.HE,0.7206380221727788
36,TIK1V.HE,-0.14037360262737753
37,UPONOR.HE,2.085364989203714
38,REG1V.HE,
39,CTY1S.HE,
40,FSKRS.HE,0.8077052912754017
41,TOKMAN.HE,0.41633272756250217
42,VAIAS.HE,-0.08798213117027698
43,PON1V.HE,-0.5033344704639098
44,FIA1S.HE,0.046469681311562816
45,OLVAS.HE,-0.27384149833154214
46,YIT.HE,0.4631699529717561
47,MUSTI.HE,-0.01315542062362085
48,ENENTO.HE,0.16301357283917306
49,ALMA.HE,-0.17135072358185066
50,EQV1V.HE,-0.7165499670192252
51,CAV1V.HE,0.3872553707581201
52,AKTIA.HE,0.006810825911534479
53,RAIVV.HE,0.17380338854750188
54,RAIKV.HE,0.7977645193760301
55,FSC1V.HE,0.976473155279906
56,HARVIA.HE,-0.29456353011133996
57,KAMUX.HE,0.090428871228454
58,LAT1V.HE,0.9541758831834133
59,BAS1V.HE,0.4726010808626364
60,REMEDY.HE,-0.3561971622434169
61,TNOM.HE,-0.16740195035077887
62,ROVIO.HE,0.8864822411897906
63,SCANFL.HE,1.0845360684370795
64,ADMCM.HE,-0.2803019058818935
65,NANOFH.HE,0.5204181540495154
66,ALBAV.HE,1.394940403588318
67,ALBBV.HE,2.151698389941487
68,ETTE.HE,-0.1471689826664856
69,CAPMAN.HE,-0.684167395021133
70,VERK.HE,-0.5343148766471228
71,MEKKO.HE,-0.21481186596792312
72,OKDAV.HE,-0.1240425582309097
73,ALTIA.HE,0.4463763639822378
74,EVLI.HE,-0.2757242129352637
75,OKDBV.HE,0.15110042837978677
76,OMASP.HE,2.903590911444741
77,DETEC.HE,0.1550019950786301
78,ATRAV.HE,0.5975642737361528
79,SUY1V.HE,0.41026358407953323
80,GOFORE.HE,-0.32730322449066085
81,RELAIS.HE,-0.28766297236344085
82,SITOWS.HE,0.338698958052847
83,ASPO.HE,-0.22395467242242217
84,RAP1V.HE,0.9795343764518047
85,TAALA.HE,-0.39395988608314203
86,PIHLIS.HE,1.2176633625002875
87,BITTI.HE,0.22306331281522995
88,HKSAV.HE,0.30354801862326775
89,DIGIA.HE,1.6706239139399566
90,FARON.HE,-0.5337433119831392
91,TEM1V.HE,-0.6058894399041922
92,TITAN.HE,-0.3055824264983046
93,VIK1V.HE,0.09558253213858392
94,LEHTO.HE,1.2645867606083243
95,KSLAV.HE,1.0285501741738705
96,ORTHEX.HE,0.42449669445568716
97,SRV1V.HE,0.9680935639468462
98,NOHO.HE,0.3721117747206206
99,ICP1V.HE,0.055374881017403066
100,LEADD.HE,-0.1843289831167233
101,EEZY.HE,0.42813336071318786
102,UNIAV.HE,0.06282190325645609
103,SIILI.HE,0.09238140695822672
104,VINCIT.HE,0.85539172805143
105,ROBIT.HE,-0.1904947955458235
106,EXL1V.HE,1.5314436123832391
107,SOLTEQ.HE,-0.22769596649799195
108,SSH1V.HE,-0.5541721965802735
109,CONSTI.HE,1.0003950515409308
110,ESENSE.HE,-0.8006980086431463
111,TLT1V.HE,-0.35200202737828346
112,RAUTE.HE,0.8482116327811444
113,BOREO.HE,-0.2694097536873087
114,STCBV.HE,1.5438915329711143
115,STCAS.HE,1.7114826205717395
116,EFECTE.HE,-0.7599281352113039
117,APETIT.HE,0.8094701240627209
118,PUMU.HE,
119,OPTOMED.HE,0.5132334667661773
120,SIEVI.HE,0.4788381250054017
121,IFA1V.HE,0.4061029147262576
122,GLA1V.HE,-0.062381744796331406
123,NIXU.HE,-0.16383786643018527
124,NXTGMS.HE,
125,VIAFIN.HE,1.059375949941343
126,SOSI1.HE,-0.07041613705335892
127,FODELIA.HE,0.08526324986127398
128,AFAGR.HE,-0.5200253736781721
129,NLG1V.HE,-0.2238392062959519
130,EAB.HE,
131,SAGCV.HE,
132,AALLON.HE,-0.40150328210181363
133,DOV1V.HE,0.3549828292183952
134,HONBS.HE,1.6256029900235798
135,BILOT.HE,-0.6908423501345784
136,PNA1V.HE,0.6552635419595945
137,OVARO.HE,
138,ENDOM.HE,0.6532716668748744
139,INVEST.HE,-0.4855562367473726
140,DIGIGR.HE,-0.7181329374438762
141,BIOBV.HE,-0.8760805023418468
142,HEEROS.HE,0.3616461650138074
