,date,high,low,open,close,volume,adjclose,formatted_date
0,1542700800,6.999000072479248,6.591000080108643,6.999000072479248,6.5920000076293945,1700,6.5920000076293945,2018-11-20
1,1542787200,6.5920000076293945,6.370999813079834,6.5920000076293945,6.375,1782,6.375,2018-11-21
2,1542873600,6.400000095367432,5.940999984741211,6.400000095367432,6.373000144958496,8270,6.373000144958496,2018-11-22
3,1542960000,6.105999946594238,6.0,6.099999904632568,6.0,4760,6.0,2018-11-23
4,1543219200,6.050000190734863,5.940000057220459,6.0,5.940000057220459,2253,5.940000057220459,2018-11-26
5,1543305600,6.010000228881836,6.0,6.0,6.010000228881836,2120,6.010000228881836,2018-11-27
6,1543392000,6.011000156402588,5.960000038146973,6.011000156402588,6.0,1286,6.0,2018-11-28
7,1543478400,5.949999809265137,5.949999809265137,5.949999809265137,5.949999809265137,1150,5.949999809265137,2018-11-29
8,1543564800,6.010000228881836,5.900000095367432,5.940000057220459,6.010000228881836,3346,6.010000228881836,2018-11-30
9,1543824000,6.0,5.853000164031982,6.0,5.999000072479248,1540,5.999000072479248,2018-12-03
10,1543910400,5.999000072479248,5.999000072479248,5.999000072479248,5.999000072479248,0,5.999000072479248,2018-12-04
11,1543996800,6.0,5.998000144958496,5.999000072479248,6.0,1133,6.0,2018-12-05
12,1544169600,6.400000095367432,6.0,6.400000095367432,6.050000190734863,602,6.050000190734863,2018-12-07
13,1544428800,5.988999843597412,5.849999904632568,5.900000095367432,5.988999843597412,1600,5.988999843597412,2018-12-10
14,1544515200,5.849999904632568,5.599999904632568,5.849999904632568,5.849999904632568,2682,5.849999904632568,2018-12-11
15,1544601600,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,5.849999904632568,2018-12-12
16,1544688000,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,200,5.849999904632568,2018-12-13
17,1544774400,5.949999809265137,5.849999904632568,5.849999904632568,5.949999809265137,4995,5.949999809265137,2018-12-14
