,date,high,low,open,close,volume,adjclose,formatted_date
0,1523343600,7.099999904632568,7.0,7.0,7.099999904632568,890,6.89030647277832,2018-04-10
1,1523430000,7.119999885559082,6.980000019073486,7.119999885559082,7.0,506,6.793260097503662,2018-04-11
2,1523516400,7.119999885559082,6.980000019073486,7.0,7.119999885559082,1510,6.9097161293029785,2018-04-12
3,1523602800,7.119999885559082,7.119999885559082,7.119999885559082,7.119999885559082,0,6.9097161293029785,2018-04-13
4,1523862000,7.119999885559082,7.099999904632568,7.119999885559082,7.119999885559082,391,6.9097161293029785,2018-04-16
5,1523948400,7.119999885559082,7.059999942779541,7.119999885559082,7.119999885559082,924,6.9097161293029785,2018-04-17
6,1524034800,7.059999942779541,7.059999942779541,7.059999942779541,7.059999942779541,200,6.85148811340332,2018-04-18
7,1524121200,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,1925,6.89030647277832,2018-04-19
8,1524207600,7.139999866485596,7.099999904632568,7.099999904632568,7.119999885559082,538,6.9097161293029785,2018-04-20
9,1524466800,7.380000114440918,7.239999771118164,7.380000114440918,7.239999771118164,255,7.026171684265137,2018-04-23
10,1524553200,7.199999809265137,7.199999809265137,7.199999809265137,7.199999809265137,194,6.987353324890137,2018-04-24
11,1524639600,7.239999771118164,7.199999809265137,7.21999979019165,7.21999979019165,2050,7.006762504577637,2018-04-25
12,1524726000,7.5,7.300000190734863,7.400000095367432,7.300000190734863,107251,7.084400177001953,2018-04-26
13,1524812400,7.539999961853027,7.199999809265137,7.539999961853027,7.199999809265137,891,6.987353324890137,2018-04-27
14,1525071600,7.340000152587891,7.199999809265137,7.199999809265137,7.199999809265137,2575,6.987353324890137,2018-04-30
15,1525244400,7.300000190734863,7.119999885559082,7.199999809265137,7.21999979019165,2091,7.006762504577637,2018-05-02
16,1525330800,7.300000190734863,7.21999979019165,7.21999979019165,7.300000190734863,459,7.084400177001953,2018-05-03
17,1525417200,7.300000190734863,7.21999979019165,7.300000190734863,7.300000190734863,2378,7.084400177001953,2018-05-04
18,1525676400,7.300000190734863,7.119999885559082,7.300000190734863,7.300000190734863,2065,7.084400177001953,2018-05-07
19,1525762800,7.300000190734863,7.28000020980835,7.28000020980835,7.300000190734863,2227,7.084400177001953,2018-05-08
20,1525849200,7.300000190734863,7.099999904632568,7.300000190734863,7.099999904632568,5612,6.89030647277832,2018-05-09
