date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,otherCurrentLiab,otherCurrentAssets,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeToAccountReceivables,issuanceOfStock,otherCashflowsFromInvestingActivities,company
2020-12-31,,,-1620000,1140000,-1886000,1384000,1717000,327000,327000,-6000,-1139000,,,,-91000,6683000,6356000,4966000,-1947000,,-1529000,-1886000,33000,7000,31429000,37562000,1140000,70131000,2556000,11332000,1005000,2813000,23667000,6590000,3181000,12060000,684000,4332000,23667000,40453000,4275000,15967000,34716000,1094000,18364000,7728000,,,-13000,0,-1559000,-5525000,-6412000,-1886000,-5180000,-353000,2791000,12000,-1616000,1082000,4665000,-262000,,,,INVEST.HE
2019-12-31,,,2740000,17156000,1650000,920000,5644000,4689000,4689000,35000,-877000,,,,657000,10877000,6188000,5233000,-1949000,,2083000,1650000,69000,7000,68550000,44966000,17156000,130672000,2556000,15199000,1144000,2828000,27204000,1022000,8362000,20651000,472000,2816000,27204000,103911000,11047000,11795000,42069000,2574000,46169000,481000,9059000.0,111000.0,222000,-119000,-12919000,5489000,17579000,1650000,6039000,-145000,1379000,46000,-1453000,13688000,292000,-262000,-490000.0,,,INVEST.HE
2018-12-31,,,4334000,2671000,2498000,962000,4815000,4034000,4034000,-181000,-477000,,,,1948000,8929000,4895000,4114000,300000,,2386000,2498000,105000,7000,43170000,46815000,2671000,92656000,2556000,14932000,30562000,2828000,29320000,3251000,2323000,12608000,222000,1900000,29320000,68234000,3784000,14454000,43882000,1332000,28641000,363000,1910000.0,129000.0,-70000,126000,-6718000,7389000,6205000,2498000,858000,-145000,1371000,32000,-1265000,81000,-1177000,-262000,-108000.0,,,INVEST.HE
2017-12-31,,,5559000,19000,5048000,851000,4245000,3376000,3376000,18000,-395000,,,,512000,7505000,4129000,3260000,2183000,,5047000,5048000,39000,7000,29511000,46128000,19000,75658000,2556000,14198000,1490000,1350000,29367000,3237000,1465000,6613000,208000,4250000,29367000,54787000,2662000,13583000,44739000,1079000,21408000,226000,848000.0,118000.0,-1004000,432000,107000,-1138000,-600000,5048000,956000,-145000,1448000,32000,-629000,81000,-3633000,-262000,-399000.0,1167000.0,150000.0,INVEST.HE
