date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,repurchaseOfStock,otherCashflowsFromInvestingActivities,company
2020-12-31,,,-6000000,2000000,26000000,2048000000,2495000000,40000000,40000000,365000000,-45000000,,,,3000000,3069000000,3029000000,574000000,-46000000,35000000,-9000000,26000000,10000000,2265000000,918000000,2000000.0,547000000,3185000000,150000000,191000000,528000000,116000000,249000000,240000000,93000000,419000000,1689000000,35000000,213000000,250000000,152000000,2421000000,260000000,659000000,435000000,286000000,1376000000,182000000,0,282000000,57000000,-35000000,-299000000,2000000,26000000,287000000,-14000000,54000000,42000000,-84000000,251000000,55000000,-10000000,-21000000,-13000000,,,,YIT.HE
2019-12-31,,,41000000,2000000,15000000,2232000000,2663000000,-5000000,-5000000,380000000,-44000000,,,,36000000,3392000000,3397000000,729000000,46000000,10000000,5000000,15000000,15000000,2641000000,1061000000,,861000000,3702000000,150000000,521000000,586000000,147000000,264000000,325000000,94000000,132000000,1933000000,34000000,110000000,337000000,170000000,2909000000,250000000,782000000,515000000,355000000,1741000000,258000000,0,-38000000,-127000000,-188000000,-7000000,2000000,15000000,-132000000,5000000,88000000,56000000,-57000000,139000000,-20000000,3000000,-95000000,-36000000,-34000000.0,-7000000.0,,YIT.HE
2018-12-31,,,65000000,2000000,39200000,2128700000,2542300000,64200000,64200000,319400000,-40300000,,,,17900000,3138800000,3074600000,596500000,800000,-7900000,47100000,39200000,45000000,2445000000,1049800000,,849800000,3494800000,149700000,1900000,626300000,165800000,319200000,273800000,121600000,263600000,1855100000,64400000,153600000,279400000,200300000,2655800000,152900000,685600000,510200000,414600000,1880100000,255600000,0,-24700000,71200000,3700000,52600000,1400000,39200000,173900000,5000000,173300000,29900000,-52400000,38700000,-23500000,-16500000,36400000,-29600000,100000.0,-7000000.0,-100000.0,YIT.HE
2017-12-31,,,70900000,2000000,56600000,1313200000,1634600000,62000000,62000000,245200000,-19100000,,,,14300000,1994500000,1932500000,359900000,8900000,-7900000,56600000,56600000,6300000,1628600000,564700000,,588500000,2193300000,149200000,300000,638400000,111500000,8100000,-222900000,105800000,89700000,1172600000,53200000,10000000,-215700000,54800000,1897800000,120500000,550300000,215300000,344500000,1592500000,155700000,0,-70900000,-112100000,-139600000,34900000,1400000,56600000,23200000,-1500000,235200000,14200000,-27600000,100600000,32300000,100000,-3400000,-15500000,-55500000.0,-7000000.0,-100000.0,YIT.HE
