date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortTermInvestments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,otherCashflowsFromInvestingActivities,issuanceOfStock,company
2020-12-31,53000000,,201000000,3000000,138000000,559800000,890000000,276200000,276200000,1000000,-29000000,,,,52000000,3319000000,3042800000,2429000000,-75200000,-11000000,149000000,138000000,942000000,20000000.0,3469000000,2036000000,3000000,646000000,5508000000,107000000.0,188000000,983000000.0,552000000,1052000000,926000000,207000000,537000000,1682000000,157000000,18000000,935000000,488000000,2802000000,17000000,42000000,1039000000,1129000000,1038000000,539000000,,0,211000000,-129000000,-309000000,193000000,138000000,381000000,-6000000,491000000,153000000,-179000000,-1000000,2000000,-70000000,,,,MOCORP.HE
2019-12-31,28000000,,282000000,3000000,224000000,436000000,821000000,361000000,361000000,-4000000,-32000000,,,,66000000,2819000000,2458000000,1998000000,-79000000,7000000,216000000,224000000,167000000,,2202000000,1252000000,3000000,458000000,3457000000,,16000000,1403000000.0,169000000,556000000,-151000000,270000000,156000000,1163000000,108000000,14000000,-151000000,404000000,2047000000,13000000,529000000,900000000,801000000,975000000,386000000,,0,-207000000,155000000,-5000000,-216000000,224000000,-169000000,-6000000,43000000,63000000,-148000000,-12000000,-34000000,-79000000,28000000.0,-1000000.0,,MOCORP.HE
2018-12-31,23000000,,241000000,10000000,170000000,405000000,714000000,286000000,286000000,-4000000,-26000000,,,,72000000,2581000000,2295000000,1867000000,-45000000,7000000,169000000,170000000,63000000,,1796000000,1173000000,10000000,451000000,2979000000,1328000000.0,9000000,,119000000,462000000,-155000000,313000000,249000000,1294000000,81000000,209000000,-155000000,246000000,1885000000,10000000,648000000,761000000,383000000,790000000,375000000,76000000.0,0,-135000000,-296000000,-342000000,-105000000,170000000,-376000000,-6000000,107000000,40000000,-131000000,1000000,-4000000,-55000000,-4000000.0,1000000.0,84000000.0,MOCORP.HE
