date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,,,13786000,5230000,8720000,9600000,96470000,17988000,17988000,34653000,-4028000,,,,4845000,508682000,490694000,412212000,-4202000,,8941000,8720000,12957000,327147000,109761000,5230000,3291000,9170000,442138000,80000,6783000,-6839000,7025000,173607000,116520000,14239000,13306000,132124000,5355000,1415000,116520000,146828000,94364000,143000,-76803000,69300000,92523000,3400000,45262000,20000,0,-4406000,-32780000,-56477000,-1830000,8720000,-13697000,-692000,47185000,33305000,9000,-212000,-22793000,6066000,-9878000,PIHLIS.HE
2019-12-31,,,6264000,4965000,3365000,9282000,96417000,16791000,16791000,39217000,-3636000,,,,1784000,518596000,501805000,422179000,-10527000,,4480000,3365000,14806000,332362000,101119000,4965000,3835000,17511000,438446000,80000,3735000,-15481000,7198000,173607000,116520000,12259000,27004000,124898000,6006000,1193000,116520000,161346000,76258000,170000,-87294000,41745000,103862000,2322000,18573000,-1000,0,-19452000,-14940000,-26699000,-6227000,3365000,-9312000,-692000,36840000,30337000,11000,-6653000,-5106000,8575000,-15406000,PIHLIS.HE
2018-12-31,,,9471000,9171000,3475000,8408000,90180000,14519000,14519000,35786000,-3377000,,,,2717000,487764000,473245000,397584000,-5048000,,6754000,3475000,18806000,306443000,121150000,9171000,3863000,15005000,436764000,80000,-1000,4551000,9258000,169927000,116519000,9971000,36316000,100840000,4063000,1493000,116519000,159251000,78647000,162000,-67583000,39878000,94347000,2454000,18789000,12000,0,-60070000,33078000,18076000,1643000,3475000,-759000,-692000,41235000,30940000,11000,-5034000,-9968000,4650000,-19589000,PIHLIS.HE
2017-12-31,,,17449000,5563000,9515000,12960000,73034000,19520000,19520000,26474000,-1452000,,,,3381000,423984000,404464000,350950000,-2071000,,14068000,9515000,13488000,147725000,100293000,5563000,2997000,15695000,253581000,80000,2698000,12268000,9419000,103893000,87945000,6909000,37074000,73448000,2224000,2209000,87945000,61917000,64261000,3113000,-17088000,21079000,35307000,2169000,12573000,-55000,0,-18549000,4876000,-6855000,1643000,9515000,9537000,-692000,34941000,13767000,102000,-5886000,-5845000,11345000,-10140000,PIHLIS.HE
