date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,shortLongTermDebt,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,,,9219000,742000,5142000,393000,19073000,7939000,7939000,9238000,-3357000,,,,2941000,42989000,35050000,23916000,1280000,,6278000,5142000,725000,38968000,105502000,112524000,742000,5113000,218768000,772000,1616000,9638000,15314000,71168000,11522000,58002000,13252000,2439000,71168000,2619000,72331000,116257000,96485000,14017000,81116000,1027000,,17670000,-12551000,17461000,30192000,8784000,447000,5142000,14337000,-11907000,1503000,838000,-21854000,-3169000,-1000,-2832000,-389000,CAPMAN.HE
2019-12-31,,,17609000,2100000,13963000,393000,24788000,11372000,11372000,12063000,-2616000,,,,1731000,48972000,37600000,24184000,6237000,,15878000,13963000,797000,38968000,87001000,127433000,2100000,15663000,216534000,772000,3218000,9431000,15314000,84475000,13121000,43665000,25567000,3726000,84475000,3428000,65225000,118649000,111322000,10792000,49718000,1123000,,12390000,1308000,16907000,-10794000,-27423000,1542000,13963000,-10879000,-363000,1353000,2752000,-18290000,-3812000,119000,-13175000,-561000,CAPMAN.HE
2018-12-31,,,9283000,433000,8064000,393000,13619000,4350000,4350000,9098000,-2782000,,,,801000,33482000,29132000,19863000,4933000,,8482000,8064000,85000,38968000,85033000,120537000,433000,14455000,206003000,772000,-2728000,3453000,4704000,83525000,7100000,54544000,31875000,2026000,83525000,317000,106196000,87601000,115748000,12646000,49705000,1247000,9989000.0,47204000,-1031000,39612000,11259000,-3674000,1139000,8064000,31253000,-4686000,171000,1039000,-16079000,-5853000,7000,-6037000,-77000,CAPMAN.HE
2017-12-31,,,16224000,-5000,15472000,393000,13477000,3400000,3400000,9861000,-3286000,,,,757000,34843000,31443000,21366000,12824000,,15467000,15037000,208000,38968000,84565000,126699000,-5000,18739000,211259000,772000,4766000,8697000,4547000,82193000,4894000,23291000,30653000,1752000,82193000,287000,109160000,92163000,121944000,8725000,45215000,635000,3000000.0,32560000,19000,33690000,-33000000,-51777000,421000,15472000,-21710000,-3623000,216000,2799000,-13047000,-1812000,-6151000,-17518000,-260000,CAPMAN.HE
