date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,inventory,accountsPayable,otherLiab,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,company
2020-12-31,,,8085434,,6735055,17351795,38955380,8713861,8713861,9635443,-236489,,,,1350379,81561340,72847479,42605960,-628427,,6735055,6735055,2407171,5130025,17338615,58459969,1715267,1853787,75798584,80000,30797069,22452875,2769749,25186729,17338615,5822959,22452875,4950313,65660850,10501,56052798,24564758,15909363,7385790,,0,-3080551,196268,-5266395,141629,6735055,-825206,7521741,2774787,-5462663,-1814107,1530399,-2325516,-3080551,,DETEC.HE
2019-12-31,,,16879087,,12475054,18016128,49864249,17019487,17019487,11947564,-230918,,,,4404033,102480113,85460626,52615864,-140400,,12475054,12475054,2555032,5130025,18568563,58354555,1566446,2797430,76923118,80000,30691655,22452875,2522214,26011935,18568563,5626691,22452875,5184757,66650615,10500,55799523,26517354,14121326,6891817,-1000.0,0,-4041434,1571102,-3891562,-1075163,12475054,3666302,11599298,2642506,-5462663,-1224419,-172224,-1285020,-4041434,-1.0,DETEC.HE
2018-12-31,,,18444926,,14866197,14967906,46803697,18521822,18521822,10963201,-130048,,,,3578729,93916146,75394324,47112449,-76896,,14866197,14866197,404156,5130025,19656814,51383572,834054,2931062,71040385,80000,23720672,22452875,3140374,22345633,19656814,4055590,22452875,5191596,62293759,10500,50979416,26659340,13288786,9320081,-1000.0,0,-4740826,-670079,-5535288,-634274,14866197,-4154384,6121730,1793768,-5462663,-4721007,-4650926,-1089028,-4740826,-1.0,DETEC.HE
2017-12-31,,,19368606,,15152072,13411841,45516350,19892794,19892794,9985717,-466286,,,,4216534,89003049,69110255,43486699,-524188,,15152072,15152072,305282,5130024,20733360,41638934,903479,3365024,62372293,80000,13976035,22452875,1280081,26500016,20733360,4725668,22452875,4260110,56516320,10500,41333652,21448524,8567780,8709739,,0,-1832647,-2597828,-5954271,-998285,15152072,10837656,18624577,1552169,-5462663,2028077,-402844,628048,-1832647,-1.0,DETEC.HE
