date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,changeToOperatingActivities,company
2020-12-31,,,15895000,110000,12728000,3172000,44927000,17578000,17578000,16221000,-3210000,,,,3215000,160082000,142504000,115155000,-1683000,118000,12680000,12728000,5681000,154648000,66770000,110000.0,17156000,221528000,3000,740000.0,11370000,1996000,118081000,55397000,303000,15463000,60098000,304000.0,3318000.0,55397000,34174000,61607000,1682000,-56992000,45404000,68728000,4955000.0,-24000,5117000,-24135000,5457000,4987000,3761000,12728000,5117000,-1613000,137000,24128000,7956000,-2618000,-700000,-973000,-3133000,,,,SITOWS.HE
2019-12-31,,,8376000,291000,6858000,2240000,37926000,10627000,10627000,16385000,-2664000,,,,506000,143016000,132389000,105090000,-2251000,-1012000,7870000,6858000,3961000,131063000,57078000,291000.0,18173000,188432000,3000,-1000.0,2343000,1258000,101733000,54732000,1401000,10346000,52626000,1401000.0,3383000.0,54732000,27561000,52524000,1252000,-48616000,37326000,57625000,5494000.0,73000,2011000,-25087000,7161000,11683000,7861000,6858000,1066000,-2432000,26000,14444000,9399000,-906000,-2194000,-1630000,-2601000,-1000.0,,,SITOWS.HE
2018-12-31,,,11126000,164000,3033000,1734000,32876000,12440000,12440000,12518000,-1906000,,,,1613000,125693000,113253000,92817000,-1314000,-6480000,9513000,3033000,1879000,97198000,45634000,164000.0,10822000,142996000,3000,,-1118000,213000,79139000,46749000,182000,9280000,46079000,181000.0,8018000.0,46749000,17566000,43407000,823000,-35384000,30731000,40642000,3390000.0,-32000,102000,-11969000,8550000,9063000,2491000,3033000,7599000,-1518000,26000,10505000,6184000,-460000,-1259000,2445000,-1786000,-1000.0,1000.0,,SITOWS.HE
2017-12-31,,,804744,164000,-833406,1734000,27229193,2925046,2925046,15693727,-2370471,,,,1658145,94927091,92002045,67697898,-2120302,-6480000,-853401,-833406,1922820,64044876,41769890,,30428214,105814762,2500,1917643.0,-2500628,22351,67518228,44268018,404,1680892,30428214,,,44268018,2264449,32031300,2077561,-27671158,27969153,33594311,,-32000,0,-45573000,19589000,40686000,21241000,-833406,-1118000,-20000,26000,3770000,8610421100,-124000,-1259000,-8602049693,-3111000,-1000.0,147000.0,-3768000.0,SITOWS.HE
