date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,25930000,,-6984000,,-7329000,54097000,85638000,5102000,5102000,509000,-11077000,,,,345000,151579000,146477000,65941000,-12086000,,-7329000,-7329000,41927000,1187000,142305000,82557000,2853000,43665000,224862000,3528000,3271000,-19600000,8250000,76676000,97442000,14140000,40461000,55743000,10592000,2173000,97442000,15345000,76761000,13000,-36046000,33029000,66665000,6178000,5069000,-9464000,-6077000,-6076000,-211000,-7329000,8790000,-922000,25252000,7320000,-1000,810000,1000,11373000,-9470000,BAS1V.HE
2019-12-31,26815000,,-23663000,,-23440000,59762000,76809000,-10406000,-10406000,638000,-9203000,,,,-223000,148302000,158708000,71493000,-13257000,,-23440000,-23440000,44402000,1187000,130495000,94086000,3336000,36643000,224581000,3528000,3300000,-13347000,8563000,80345000,102718000,14014000,31672000,49631000,9654000,1996000,102816000,16917000,68865000,38000,-30661000,33893000,58889000,7600000,4794000,-10541000,-2788000,-2788000,123000,-23440000,-9076000,94000,4159000,8898000,-1000,557000,1000,6184000,-10587000,BAS1V.HE
2018-12-31,27222000,,-3526000,,-7077000,59288000,71797000,-13476000,-13476000,-1237000,-2048000,,,,3551000,141417000,154893000,69620000,9950000,,-7077000,-7077000,45097000,1187000,104939000,110749000,3265000,31834000,215688000,3528000,2429000,5042000,7545000,78939000,100992000,12917000,40747000,57277000,7810000,17089000,101630000,792000,77905000,38000,-13287000,34729000,40117000,8354000,2122000,18469000,7927000,7927000,-763000,-7077000,20064000,-71000,-6261000,5077000,-1000,-841000,1000,-10390000,-11178000,BAS1V.HE
2017-12-31,29629000,,-12276000,,-11524000,50565000,73276000,-7072000,-7072000,154000,-967000,,,,-752000,149167000,156239000,75891000,-5204000,,-11524000,-11524000,49039000,1187000,101522000,113289000,2585000,34885000,214811000,3528000,1603000,8920000,9071000,91961000,99654000,16429000,20683000,45165000,10362000,1996000,100495000,1291000,55900000,191000,-27711000,33614000,47286000,8284000,4766000,-12485000,2002000,2002000,-4141000,-11524000,-15072000,-588000,-4001000,5412000,-1000,-3123000,1000,-87000,-12485000,BAS1V.HE
