date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,minorityInterest,otherCurrentAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeToInventory,changeToAccountReceivables,issuanceOfStock,company
2020-12-31,,,2900000,,2800000,9000000,18400000,2900000,2900000,4700000,-300000,,,,100000,52900000,50000000,34500000,0,,2800000,2800000,500000,500000,18000000,14600000,300000,32600000,9900000,-1900000,400000,100000,6100000,1700000,7000000,14600000,1700000,800000,7400000,13700000,16300000,300000,14000000,4700000,3000000,4600000,13500000,,,0,-3700000,-1300000,-2400000,2800000,-100000,-700000,100000,6000000,1800000,400000,-400000,1400000,-4100000,,,,HONBS.HE
2019-12-31,,,3210000,,2321000,8276000,17339000,3041000,3041000,4178000,-152000,,,,889000,47553000,44512000,30214000,169000,,2321000,2321000,181000,520000,15375000,12539000,6188000,27914000,9898000,-4696000,290000,72000,6817000,2759000,7053000,10702000,1577000,450000,8199000,10669000,13947000,286000,12286000,2452000,2893000,4442000,861000,,,619000,-3106000,1122000,1110000,2321000,2938000,-700000,-49000,4983000,1844000,400000,-12000,342000,-3078000,160000.0,-303000.0,,HONBS.HE
2018-12-31,,,1491000,5000,1176000,8417000,16057000,1448000,1448000,4954000,-131000,,,,315000,48984000,47536000,32927000,43000,,1176000,1176000,32000,520000,11498000,10126000,5764000,21629000,9898000,-7046000,292000,72000,6754000,2882000,4115000,9862000,2047000,450000,8136000,7513000,10849000,281000,10022000,2132000,1344000,4602000,1504000,5000.0,,152000,-1047000,-1791000,-1791000,1176000,971000,-700000,-49000,3808000,1238000,100000,-12000,122000,-917000,675000.0,445000.0,,HONBS.HE
2017-12-31,,,1695000,4000,870000,6915000,14941000,1358000,1358000,4987000,-27000,,,,825000,43656000,42298000,28715000,337000,,870000,837000,52000,520000,13126000,8953000,5332000,22083000,9898000,-8123000,276000,72000,6658000,2310000,3144000,10450000,2026000,1177000,8040000,8370000,10992000,287000,8829000,2571000,2398000,5276000,1829000,4000.0,1000.0,1571000,-401000,-1801000,-301000,870000,2751000,-700000,-49000,3453000,1681000,100000,-12000,375000,-455000,-1259000.0,215000.0,1500000.0,HONBS.HE
