date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,company
2020-12-31,,,106000000,,86000000,244400000,406600000,143600000,143600000,18600000,-8400000,,,,20000000,1313800000,1170200000,907200000,-37600000,,86000000,86000000,23600000,181400000,815300000,1521400000,52500000,2336700000,25400000,29200000,1544900000,33500000,79200000,-230300000,173100000,504200000,524500000,21600000,900000,-212100000,831300000,1226700000,2800000,1418600000,400000,363100000,128000000,329400000,101600000,0,-140600000,174100000,10700000,22800000,86000000,285400000,-10200000,-7200000,422400000,131100000,600000,-151600000,25200000,121900000,-1600000,35400000,-149900000,,TYRES.HE
2019-12-31,,,336800000,,399900000,250300000,571600000,314100000,314100000,7200000,-8800000,,,,-63100000,1585400000,1271300000,1013800000,22700000,,399900000,399900000,35300000,181400000,562900000,1769700000,9600000,2332600000,25400000,16700000,1613300000,37400000,84400000,-50400000,418700000,218800000,296400000,15900000,900000,-42400000,612900000,1180500000,800000,1650000000,600000,556500000,134300000,387000000,255900000,0,-297200000,-28600000,-154500000,-173800000,399900000,-228700000,-10200000,3200000,219800000,125200000,100000,-218100000,6100000,-68000000,76600000,-69600000,-290100000,15600000.0,TYRES.HE
2018-12-31,,,361700000,,295200000,332400000,730100000,374000000,374000000,23700000,-3800000,,,,66500000,1595600000,1221600000,865500000,-12300000,,295200000,295200000,33600000,181400000,606800000,1486100000,10900000,2092900000,25400000,42700000,1434100000,33100000,83600000,-154800000,197500000,447500000,567400000,9300000,126000000,-143400000,466400000,1311000000,800000,1368900000,600000,450500000,6300000,369200000,430500000,0,-227100000,-1600000,-205100000,185300000,295200000,104000000,-10200000,-700000,536900000,91500000,100000,-214200000,-41800000,-11000000,-8000000,17700000,-226500000,18700000.0,TYRES.HE
2017-12-31,,,332400000,,221400000,345600000,733700000,365500000,365500000,22600000,-6300000,,,,111000000,1572500000,1207000000,838800000,-33100000,,221400000,221400000,35600000,181400000,409000000,1468400000,53500000,1877400000,25400000,39000000,1377400000,31000000,83300000,-115800000,81800000,343400000,243600000,9200000,800000,-95500000,490500000,1185400000,800000,1349500000,400000,462200000,134400000,340100000,74600000,0,-133500000,-66900000,-273100000,47900000,221400000,-169800000,-17800000,2200000,234100000,97000000,100000,-208000000,-51800000,-69000000,-15400000,-11400000,-134900000,35000000.0,TYRES.HE
