date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeToOperatingActivities,investments,company
2020-12-31,,,14834000,,13424000,57778000,184923000,19724000,19724000,78361000,-4448000,,,,1410000,500741000,481017000,315818000,-4890000,,13424000,12018000,9037000,4351000,270603000,113497000,16389000,384100000,17692000,2129000,82860000,4470000,46245000,8594000,498000,32303000,109798000,441000,31732000,9514000,189194000,137883000,1243000,58215000,61081000,149137000,42370000,32065000,4188000,-8993000,-31092000,-44821000,20000000,13424000,8637000,-25000000,-2514000,64965000,29060000,2647000,-8459000,9938000,8845000,-270000,-490000,-7197000,,,ASPO.HE
2019-12-31,,,18248000,,16118000,61216000,198619000,20705000,20705000,88073000,-4628000,,,,2130000,587689000,566984000,389070000,-2457000,,16118000,14768000,7943000,4351000,287839000,122069000,14538000,409908000,17692000,2118000,79499000,4849000,43301000,20527000,413000,23667000,132439000,382000,58155000,22215000,201678000,154965000,1608000,70825000,73286000,141782000,55894000,33085000,-14773000,-7359000,-26543000,-41924000,20000000,16118000,4333000,-25000000,1064000,52552000,28625000,59000,-15381000,18453000,5634000,-270000,-1505000,-5402000,,,ASPO.HE
2018-12-31,,,16435000,,14184000,43247000,158753000,23550000,23550000,80272000,-3996000,,,,2251000,540935000,517385000,382182000,-7115000,,14184000,12834000,8845000,4351000,283072000,116649000,16181000,399721000,17692000,2013000,78600000,7358000,43011000,16006000,2683000,19333000,104727000,2391000,28151000,17744000,175053000,168447000,1682000,64793000,75806000,170287000,71295000,45520000,0,-55085000,49916000,34942000,20000000,14184000,-590000,-25000000,-720000,20273000,11684000,1000,-14974000,-10645000,-4530000,-270000,5142000,-43054000,4438000.0,,ASPO.HE
2017-12-31,,,21054000,,19408000,49296000,131806000,22367000,22367000,48274000,-3208000,,,,1646000,502360000,479993000,370554000,-1313000,,19408000,17248000,7876000,4351000,208828000,112267000,16273000,321095000,17692000,2168000,79582000,3822000,42013000,10642000,3910000,19923000,95489000,3267000,26422000,12811000,119918000,147208000,170000,62378000,64196000,108540000,60921000,37161000,0,-16560000,11414000,-3127000,20000000,19408000,-2704000,-25000000,-451000,17434000,11869000,2000,-14541000,-6330000,-8808000,-270000,-1200000,-17653000,2495000.0,198000.0,ASPO.HE
