date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,company
2020-12-31,,,39717000,11000,31486000,78230000,145290000,0,39717000,27343000,,,,,8232000,145290000,105573000,0,0,,31485000,31486000,21486000,32736000,5742690000,292357000,11000,19001000,6035058000,42029000,21180000,183718000,74095000,2902000.0,33874000,4400579000,672255000,4609174000,5421000,879874000,33874000,32861000,1263128000,314102000,267969000,29521000.0,33420000,1049255000,3607207000,-4388000,0,-9457000,-352597000,-153005000,276954000,213000,31486000,176528000,2536000,336455000,8297000,1000,199379000,15711000,-1373000,,ALBAV.HE
2019-12-31,,,33194000,13000,26310000,71681000,130692000,0,33527000,25484000,,,,,6885000,130692000,97165000,0,-333000,,26309000,26310000,22413000,32736000,5349144000,258343000,13000,12405000,5607500000,42029000,17716000,154459000,67180000,2902000.0,29119000,4155167000,495727000,3930825000,5120000,466797000,29119000,32000000,1140575000,254443000,233028000,24701000.0,32790000,1342910000,3371027000,-6498000,0,-12812000,15396000,86869000,-170643000,378000,26310000,-45310000,-2368000,-116999000,8031000,1000,81963000,15500000,-2438000,-10868000.0,ALBAV.HE
2018-12-31,,,28990000,13000,22931000,70465000,126800000,0,28992000,27343000,,,,,6058000,126800000,97808000,0,-2000,,22932000,22931000,21582000,32736000,5315408000,242370000,13000,21684000,5557791000,41974000,17510000,141112000,67101000,,26548000,4029393000,541038000,3884558000,5428000,436128000,26548000,22217000,1292792000,191807000,220788000,23544000.0,65861000,1362745000,3307008000,-1916000,0,-11930000,64199000,242928000,-312963000,174000,22931000,-45330000,-3710000,-272618000,3524000,-1000,188596000,10110000,-1497000,-10041000.0,ALBAV.HE
2018-01-01,,,26035000,13000,20704000,68905000,125878000,0,26172000,30801000,,,,,5330000,125878000,99706000,0,-137000,,20705000,20704000,17272000,32736000,5118991000,230526000,13000,20057000,5349530000,41949000,18151000,127595000,57785000,,28246000,4014683000,586367000,3670752000,5881000,392000000,28246000,23959000,659233000,634383000,213254000,,29868000,1388913000,3151396000,1000,0,-7595000,160142000,296574000,-315392000,1219000,20704000,7136000,-2867000,-278976000,3779000,-1000,144414000,8724000,-2699000,-9201000.0,ALBAV.HE
