date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,,,786000000,4000000,712000000,439000000,2387000000,1060000000,1060000000,375000000,-42000000,,,,72000000,10357000000,9297000000,7970000000,-274000000,,714000000,712000000,144000000,3886000000,5925000000,4000000.0,660000000,9815000000,40000000,279000000,5906000000,589000000,120000000,-21000000,100000000,1552000000,2247000000,35000000,143000000,-14000000,4477000000,4886000000,88000000,5661000000,20000000.0,1206000000,761000000,1829000000,1227000000,-35000000,-99000000,-1039000000,-177000000,-961000000,712000000,59000000,2000000,2057000000,513000000,-66000000,-783000000,-176000000,735000000,-1000000,372000000,-727000000,NESTE.HE
2019-12-31,,,2067000000,2000000,1788000000,474000000,3495000000,2219000000,2219000000,275000000,-46000000,,,,278000000,14362000000,12143000000,10867000000,-152000000,,1789000000,1788000000,119000000,3872000000,5919000000,2000000.0,563000000,9793000000,40000000,237000000,5975000000,481000000,16000000,-96000000,103000000,1493000000,2311000000,40000000,140000000,-89000000,4187000000,5341000000,27000000,5784000000,19000000.0,1914000000,763000000,1678000000,1403000000,-35000000,204000000,-302000000,-213000000,-797000000,1788000000,357000000,2000000,1456000000,491000000,121000000,-583000000,-197000000,-787000000,-1000000,-43000000,-522000000,NESTE.HE
2018-12-31,,,947000000,2000000,775000000,400000000,2302000000,1139000000,1139000000,261000000,-43000000,,,,172000000,13466000000,12327000000,11164000000,-192000000,,775000000,775000000,100000000,3594000000,4614000000,2000000.0,810000000,8210000000,40000000,214000000,4781000000,498000000,24000000,-207000000,125000000,1136000000,2247000000,35000000,288000000,-198000000,3737000000,4113000000,111000000,4490000000,74000000.0,1222000000,751000000,1467000000,1033000000,2000000,60000000,-583000000,-82000000,-517000000,775000000,353000000,2000000,1452000000,502000000,-191000000,-435000000,87000000,-44000000,-1000000,72000000,-347000000,NESTE.HE
2017-12-31,,,1094000000,2000000,911000000,372000000,2153000000,1167000000,1167000000,243000000,-40000000,,,,180000000,11732000000,10565000000,9579000000,-73000000,,914000000,911000000,89000000,3455000000,4338000000,,520000000,7793000000,40000000,96000000,4447000000,472000000,11000000,-149000000,87000000,783000000,1951000000,35000000,161000000,-140000000,3856000000,3529000000,221000000,4238000000,,1087000000,934000000,1563000000,1163000000,2000000,162000000,-467000000,-283000000,-631000000,911000000,-5000000,-2000000,1094000000,371000000,3000000,-332000000,-155000000,-111000000,-16000000,-84000000,-447000000,NESTE.HE
