date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,company
2020-12-31,,,17548000,-1134000,13012000,34829000,62932000,20990000,20990000,4611000,-3415000,,,,4447000,68962000,47972000,6030000,-3442000,,13101000,13012000,1679000,134781000,134343000,-1134000,144000,267990000,125000,5357000,99356000,50156000,5097000,34862000,170171000,18431000,1611000,34862000,2944000,77353000,10746000,127567000,50025000,64715000,1403000,-14891000,0,-18897000,-11000000,-15848000,2560000,13012000,-3315000,31429000,1567000,-4529000,8680000,-319000,4675000,-1256000,,TAALA.HE
2019-12-31,,,16458000,-182000,11078000,34483000,61359000,20195000,20195000,4018000,-3142000,,,,4979000,66760000,46565000,5401000,-3737000,,11479000,11078000,1434000,143972000,125910000,-182000,160000,269700000,125000,7666000,90670000,47925000,5097000,35115000,171350000,17956000,2233000,35115000,4435000,79463000,7921000,119379000,62565000,75629000,1616000,-9895000,0,-11546000,14000000,5822000,8936000,11078000,2969000,8693000,1685000,-8492000,-15654000,314000,1670000,-1038000,1000.0,TAALA.HE
2018-12-31,,,23896000,1662000,21626000,32552000,66137000,27003000,27003000,5401000,-2943000,,,,2258000,71911000,44908000,5774000,-3107000,,21638000,21626000,1479000,115628000,120719000,1662000,451000,238009000,125000,12007000,87173000,37958000,5097000,33421000,152001000,15859000,2322000,33421000,692000,72600000,6140000,114143000,48169000,61811000,1596000,5235000,0,-6059000,-1000000,-7461000,-4419000,21626000,-8434000,5087000,288000,-7359000,-12879000,898000,-422000,-1376000,1000.0,TAALA.HE
2017-12-31,,,27612000,384000,21447000,38490000,74536000,30161000,30161000,4569000,-3133000,,,,5824000,80927000,50766000,6391000,1218000,,21788000,21447000,1577000,123238000,105700000,384000,131000,229322000,125000,2697000,74041000,36438000,627000,31534000,134189000,24060000,1113000,31534000,361000,79549000,13019000,103496000,56382000,62740000,723000,-27426000,0,-31511000,-11000000,-17864000,13084000,21447000,-20581000,28794000,216000,-6202000,-6149000,-662000,-904000,-870000,1000.0,TAALA.HE
