date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,inventory,accountsPayable,otherCurrentAssets,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,company
2020-12-31,,,-3262000,,-3313000,3063000,3958000,-3174000,-3174000,2072000,-14000,,,,51000,7123000,10297000,3165000,-88000,,-3313000,-3313000,1763000,2074000,8703000,32000,10777000,2350000,2468000,9000,3885000,17000,1038000,1940000,17000,3885000,640000,8299000,58000.0,6940000,5041000,1317000,903000,612000,,-20000,0,-35000,-222000,-222000,-344000,-3313000,-287000,-5000,-25000,1997000,97000,1545000,-7000,-15000,,BIOBV.HE
2019-12-31,,,-1228000,,-1417000,3291000,6667000,-1413000,-1413000,2783000,-12000,,,,189000,10052000,11465000,3385000,185000,,-1417000,-1417000,3401000,2792000,14580000,111000,17372000,2350000,5780000,356000,6450000,28000,1325000,2377000,28000,6450000,672000,13213000,58000.0,11179000,7996000,2902000,990000,869000,,-35000,0,-138000,-223000,-10000,612000,-1417000,-50000,15000,83000,2006000,-190000,-849000,-79000,-46000,213000.0,BIOBV.HE
2018-12-31,,,-2023000,,-2143000,3333000,6441000,-1962000,-1962000,3263000,-3000,,,,120000,9931000,11893000,3490000,-61000,,-2143000,-2143000,5045000,1995000,15892000,85000,17887000,2350000,7255000,384000,6287000,55000,1375000,1569000,54000,6287000,557000,12229000,1000.0,10847000,8003000,2025000,826000,518000,,19000,0,4000,-17000,131000,264000,-2143000,36000,-7000,-93000,1807000,-145000,-54000,178000,-15000,148000.0,BIOBV.HE
2017-12-31,,,6406000,,6139000,3442000,5640000,-1626000,-1626000,2644000,-6000,,,,267000,8979000,10605000,3339000,8032000,,6139000,6139000,6764000,1652000,17243000,8000,18895000,2350000,9345000,315000,5548000,69000,1339000,1278000,67000,5548000,708000,11354000,,10479000,7375000,1960000,681000,414000,-1000.0,1366000,0,1196000,75000,504000,-495000,6139000,742000,-15000,-943000,1180000,183000,12000,-7962000,-170000,429000.0,BIOBV.HE
