date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,inventory,accountsPayable,longTermDebt,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,otherCashflowsFromFinancingActivities,changeToOperatingActivities,company
2020-12-31,,,-294000000,,-291600000,181900000,443700000,-12100000,-12100000,144000000,-41500000,,,,-2400000,790700000,802800000,347000000,-281900000,,-291600000,-291600000,122400000,186100000,1219100000,209000000,204500000,1428100000,144100000,256200000,-541700000,36100000,277500000,420500000,47100000,152300000,892300000,27800000,488200000,420500000,400200000,580700000,200000,-190900000,27400000,135300000,63300000,,25300000,-10000000,-3300000,-11500000,-291600000,129600000,3700000,147400000,129900000,8700000,-8200000,13900000,-9700000,279600000,-18700000,,,,STCAS.HE
2019-12-31,,,-28500000,,-45600000,246000000,540900000,24800000,24800000,141300000,-51900000,,,,17100000,960400000,935600000,419500000,-53300000,,-45600000,-52100000,127800000,186100000,1220700000,469600000,103100000,1690300000,144100000,400000,-241800000,45400000,506600000,381200000,41000000,24900000,372200000,16300000,45500000,381200000,800900000,213700000,300000,-164800000,27000000,145800000,79500000,364500000.0,-200000,116800000,-253800000,-238800000,-45600000,-20400000,-600000,102300000,128800000,11000000,-6600000,-5300000,8000000,16600000,-33900000,22200000.0,-600000.0,,STCAS.HE
2018-12-31,,,-39600000,,-45200000,260100000,577700000,25900000,25900000,235800000,-33000000,,,,4200000,1018800000,992900000,441100000,-65500000,-1400000,-43800000,-50470000,130600000,186100000,984200000,843700000,117600000,1827900000,144100000,177100000,-212000000,145700000,516100000,725500000,17400000,43400000,478600000,14700000,227500000,725500000,750300000,413200000,300000,197000000,30700000,141900000,78600000,359900000.0,0,126000000,-168000000,-174600000,-45200000,34200000,-100000,82900000,55900000,31600000,-6600000,16300000,11900000,33500000,-28100000,22200000.0,-600000.0,10500000.0,STCAS.HE
2017-12-31,,,-179400000,,-209400000,280300000,586300000,3200000,3200000,241900000,-22900000,,,,18700000,1055900000,1052700000,469600000,-182600000,-11300000,-198100000,-214670000,133600000,186100000,1176300000,885100000,122700000,2061400000,144100000,189900000,-227500000,167600000,563800000,782400000,138500000,21000000,503500000,33200000,246100000,782400000,772000000,453200000,300000,187700000,58500000,162200000,68600000,505200000.0,0,-26600000,20000000,2300000,-209400000,-5700000,-200000,18800000,60900000,7100000,-7400000,15500000,3100000,182100000,-33700000,22200000.0,-10300000.0,-33400000.0,STCAS.HE
