date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,otherCurrentAssets,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,,,15900000,300000,8600000,1341100000,1625900000,28500000,28500000,184100000,-9400000,,,,7300000,2154900000,2126400000,529000000,-12600000,,8600000,6300000,49100000,1095800000,196300000,300000,396300000,1292400000,1000000,111300000,99500000,365000000,84000000,27800000,149300000,773100000,19600000,3000000.0,86800000,144200000,703300000,3000000,-217800000,519400000,135700000,16300000,163600000,,200000,35900000,-11800000,-34700000,-68500000,35000000,8600000,55700000,-66100000,-3500000,139600000,72200000,-100000,-100000,2300000,15700000,-2600000,4900000,-5100000,CAV1V.HE
2019-12-31,,,27000000,400000,22600000,1314200000,1599000000,41500000,41500000,175700000,-9700000,,,,4400000,2123200000,2081700000,524200000,-14500000,,22600000,19500000,56000000,1052500000,228500000,400000,358900000,1281400000,1000000,103400000,93200000,366500000,124100000,26700000,93600000,741000000,19300000,,127200000,154200000,675000000,3000000,-194000000,539400000,125000000,18800000,173700000,,-1300000,10400000,-65000000,22800000,-23000000,35000000,22600000,42400000,-33900000,900000,129400000,67600000,-100000,-6800000,1800000,13000000,-5100000,14000000,-7900000,CAV1V.HE
2018-12-31,,,-43900000,400000,-48200000,1407100000,1633500000,9300000,9300000,190000000,-3100000,,,,4300000,2204100000,2194800000,570600000,-53200000,,-48200000,-51900000,34600000,770500000,253600000,400000,309700000,1024500000,1000000,95500000,84100000,334400000,157100000,16400000,51200000,655500000,9900000,26700000.0,160300000,15800000,622000000,1300000,-115400000,537300000,30500000,16900000,184100000,,-1300000,-37100000,-17500000,-35900000,22200000,66700000,-48200000,21900000,-33900000,-1700000,18900000,27100000,-100000,-6800000,1800000,59400000,-8600000,17700000,-5100000,CAV1V.HE
2017-12-31,,,-32300000,400000,-27000000,1462800000,1637400000,-34500000,-34500000,178700000,-4700000,,,,-5300000,2275800000,2310300000,638400000,2200000,,-27000000,-29800000,46700000,857500000,235300000,400000,297900000,1093200000,1000000,146000000,103000000,331600000,88300000,29700000,29200000,696800000,27400000,33600000.0,91500000,21600000,662300000,1300000,-143000000,615400000,57100000,17600000,215500000,100000.0,100000,-15600000,3600000,-100900000,-700000,100000000,-27000000,-18500000,-33900000,-4600000,-16700000,30400000,-100000,-6800000,11900000,8300000,200000,-24700000,-4200000,CAV1V.HE
