date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,company
2020-12-31,,,773000000,-16000000,626000000,2120000000,3426000000,537000000,537000000,217000000,-134000000,,,,156000000,8553000000,8016000000,5127000000,236000000,,617000000,626000000,170000000,77000000,8638000000,8809000000,-16000000,236000000,17431000000,1342000000,-1000000.0,5517000000,1921000000,281000000,1873000000,238000000,1661000000,2895000000,117000000,401000000,1873000000,11714000000,4155000000,873000000,8358000000,1129000000,3505000000,1270000000,1314000000,-15000000,0,-681000000,583000000,354000000,-24000000,626000000,792000000,-6000000,-9000000,1128000000,541000000,-19000000,-223000000,101000000,118000000,-252000000,-661000000,,STEAV.HE
2019-12-31,,,1137000000,-7000000,880000000,2276000000,3989000000,860000000,860000000,313000000,-154000000,,,,281000000,10055000000,9195000000,6066000000,277000000,,856000000,880000000,206000000,77000000,7631000000,7429000000,-7000000,189000000,15053000000,1342000000,,5116000000,1482000000,302000000,894000000,189000000,876000000,2917000000,81000000,319000000,894000000,9745000000,3590000000,1021000000,6921000000,1227000000,2872000000,1391000000,1331000000,-1000000,0,-1089000000,-447000000,-856000000,-126000000,880000000,-266000000,-3000000,19000000,1660000000,529000000,-19000000,-394000000,161000000,205000000,-5000000,-598000000,-12000000.0,STEAV.HE
2018-12-31,,,1210000000,18000000,1013000000,2364000000,4454000000,1294000000,1294000000,318000000,-133000000,,,,221000000,10486000000,9192000000,6032000000,-84000000,,989000000,1013000000,280000000,77000000,6117000000,6714000000,18000000,224000000,12849000000,1342000000,,4707000000,705000000,243000000,588000000,223000000,1130000000,3147000000,120000000,471000000,588000000,5691000000,4248000000,2164000000,6191000000,1455000000,2264000000,1567000000,1382000000,-28000000,0,-497000000,259000000,-73000000,22000000,1013000000,525000000,-5000000,4000000,1092000000,467000000,9000000,-323000000,-267000000,-183000000,28000000,-525000000,-4000000.0,STEAV.HE
2017-12-31,,,742000000,47000000,625000000,2403000000,4128000000,893000000,893000000,338000000,-143000000,,,,128000000,10045000000,9152000000,5917000000,-151000000,,614000000,625000000,241000000,77000000,5715000000,6008000000,47000000,216000000,11770000000,1342000000,,4034000000,706000000,237000000,555000000,259000000,607000000,2963000000,154000000,378000000,555000000,5758000000,3336000000,1939000000,5530000000,1289000000,2045000000,1321000000,1337000000,-12000000,0,-696000000,-533000000,-829000000,199000000,625000000,-346000000,-3000000,-23000000,1202000000,483000000,-67000000,-292000000,-25000000,-137000000,47000000,-658000000,-1000000.0,STEAV.HE
