date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,inventory,accountsPayable,otherCurrentAssets,shortLongTermDebt,longTermDebt,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,company
2020-12-31,,,42200000,21000000,93300000,,104200000,40800000,40800000,47900000,-900000,,,,9000000,230200000,189400000,126000000,1400000,65800000,33200000,93300000,55100000,7700000,129300000,183600000,21000000,21600000,333900000,45300000,111400000,25800000,150700000,19200000,300000,48000000,71600000,300000,19200000,40600000,76700000,10500000,-22200000,23400000,600000,5000000,,,,-4200000,0,-28400000,-7400000,-46400000,7000000,93300000,-19100000,-1500000,-200000,56000000,15500000,-33000000,300000,-1500000,-4500000,-58600000,-900000,,ALMA.HE
2019-12-31,,,49000000,30400000,42200000,,114600000,49200000,49200000,48700000,-800000,,,,8600000,250200000,201000000,135600000,-200000,8200000,40400000,42200000,54300000,7700000,198400000,172100000,30400000,95400000,400900000,45300000,100500000,14500000,130300000,18600000,500000,48400000,147000000,400000,18600000,47400000,161900000,6500000,-12500000,26500000,700000,3800000,83300000.0,,,800000,0,-9900000,-11600000,-44300000,-1500000,42200000,17500000,-1500000,-100000,71800000,16700000,-28800000,400000,3100000,-3900000,10900000,-800000,,ALMA.HE
2018-12-31,,,48200000,26600000,41700000,,116000000,46100000,46100000,59000000,-300000,,,,9900000,254700000,208600000,138700000,2100000,9700000,38300000,41700000,58000000,7700000,158800000,160200000,26600000,41400000,345600000,45300000,88700000,13900000,133500000,18500000,3300000,49500000,97600000,1500000,18500000,53600000,89500000,7700000,-31300000,32800000,3200000,3800000,100000.0,500000.0,,-100000,-9800000,5300000,-10100000,-33000000,-1500000,41700000,28800000,-1500000,200000,56200000,11000000,-19800000,-800000,7900000,-3100000,6200000,-1600000,,ALMA.HE
2017-12-31,,,46000000,21600000,32200000,13100000,144200000,47700000,47700000,67100000,-1700000,,,,9200000,367300000,319600000,223100000,-1700000,9700000,36800000,32200000,62100000,7700000,175400000,136800000,21600000,40000000,333800000,45300000,65800000,14700000,121700000,18000000,13400000,20700000,104700000,2300000,18000000,59700000,68700000,8200000,-47000000,40900000,2400000,8200000,100000.0,500000.0,5000000.0,-13600000,2900000,-17200000,-20200000,-37000000,-1500000,32200000,-2600000,-1200000,-100000,51700000,16300000,-13200000,-100000,-8800000,-2400000,9200000,-1600000,100000.0,ALMA.HE
