date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,minorityInterest,otherCurrentAssets,shortLongTermDebt,longTermInvestments,shortTermInvestments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToNetincome,capitalExpenditures,investments,otherCashflowsFromFinancingActivities,changeToInventory,changeToAccountReceivables,otherCashflowsFromInvestingActivities,company
2020-12-31,14000000,,64000000,,2198000000,104000000,190000000,72000000,72000000,,-6000000,,,,16000000,576000000,504000000,386000000,-8000000,2150000000,48000000,2198000000,17000000,381000000,263000000,53000000,644000000,51000000,149000000,26000000,57000000,63000000,31000000,136000000,164000000,18000000,66000000,113000000,426000000,189000000,112000000,150000000,160000000,60000000,,,,,,0,-52000000,105000000,-116000000,203000000,2198000000,-76000000,-12000000,416000000,22000000,-221000000,-2009000000,-54000000,,,,,,NELES.HE
2019-12-31,17000000,,92000000,3000000,301000000,112000000,225000000,93000000,93000000,3000000,-2000000,,,,22000000,660000000,567000000,435000000,-1000000,230000000,70000000,301000000,18000000,2361000000,1523000000,2151000000,3887000000,141000000,1188000000,15000000,62000000,194000000,14000000,57000000,2273000000,13000000,200000000,113000000,3680000000,1443000000,109000000,36000000,181000000,63000000,3000000.0,3305000000.0,20000000.0,,,0,-276000000,163000000,-29000000,-254000000,301000000,-213000000,2000000,91000000,80000000,-180000000,-38000000,-107000000,28000000.0,-12000000.0,,,,NELES.HE
2018-12-31,16000000,,85000000,10000000,230000000,97000000,202000000,87000000,87000000,2000000,-25000000,,,,20000000,593000000,506000000,391000000,-2000000,164000000,65000000,230000000,83000000,1863000000,1406000000,552000000,3279000000,141000000,1078000000,130000000,525000000,187000000,146000000,332000000,1348000000,101000000,196000000,305000000,2210000000,798000000,770000000,385000000,950000000,431000000,10000000.0,10000000.0,174000000.0,10000000.0,94000000.0,82000000,-143000000,-272000000,-428000000,47000000,230000000,-400000000,-6000000,177000000,12000000,-157000000,64000000,-61000000,-4000000.0,1000000.0,-197000000.0,-61000000.0,,NELES.HE
2017-12-31,16000000,,184000000,7000000,102000000,510000000,731000000,221000000,221000000,2000000,-23000000,,,,82000000,2699000000,2478000000,1968000000,-37000000,164000000,102000000,102000000,79000000,1936000000,1344000000,488000000,3287000000,141000000,1002000000,125000000,466000000,201000000,125000000,519000000,1257000000,93000000,210000000,287000000,2324000000,799000000,682000000,554000000,750000000,342000000,7000000.0,13000000.0,279000000.0,6000000.0,307000000.0,79000000,-66000000,59000000,-90000000,50000000,102000000,17000000,-12000000,185000000,51000000,-157000000,47000000,-35000000,-2000000.0,8000000.0,-93000000.0,-59000000.0,-1000000.0,NELES.HE
