date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,,,212300000,,170100000,198500000,628800000,215800000,215800000,120000000,-11100000,,,,42200000,1892900000,1677100000,1264100000,-3500000,,170100000,170100000,6700000,918700000,1383800000,195400000,2302500000,557900000,33200000,450100000,119900000,12400000,375800000,18200000,214000000,354000000,7500000,1300000,375800000,824700000,884600000,555900000,1364700000,249700000,430700000,360000000,78700000,-2100000,-5800000,-142000000,800000,-84400000,-100000,170100000,79800000,-1500000,307700000,94500000,-200000,-85300000,17700000,26100000,100000,5200000,-154200000,METSB.HE
2019-12-31,,,165600000,,144600000,197400000,551800000,123900000,123900000,135900000,-15200000,,,,21000000,1937800000,1813900000,1386000000,41700000,,144600000,144600000,8800000,932400000,1338000000,198100000,2270400000,557900000,17200000,319900000,128500000,12400000,460200000,23300000,134200000,391000000,6700000,25800000,460200000,742000000,836400000,647500000,1316800000,280800000,397300000,379500000,91200000,3700000,-25400000,-66300000,-7600000,-110600000,-43000000,144600000,24500000,900000,200500000,94600000,-200000,-103100000,-15100000,-2500000,100000,4300000,-94300000,METSB.HE
2018-12-31,,,224200000,,203400000,199000000,544700000,116900000,116900000,137000000,-18400000,,,,20800000,1951300000,1834400000,1406600000,107300000,,203400000,203400000,10100000,961300000,1322900000,23000000,2284200000,557900000,12700000,216100000,128700000,12400000,548900000,33900000,109700000,490200000,5500000,102200000,548900000,753200000,793200000,681400000,1300400000,282900000,336400000,365600000,310200000,100000,15700000,-55800000,-132000000,-206500000,100000,203400000,-105400000,6000000,150900000,91800000,500000,-74700000,-45600000,-32600000,200000,-81900000,-67700000,METSB.HE
2017-12-31,,,170800000,,150500000,198000000,561000000,133500000,133500000,134000000,-22800000,,,,20300000,1854600000,1721100000,1293600000,37300000,,150500000,150500000,14200000,1058700000,1167400000,25900000,2226100000,557900000,7300000,81600000,106800000,12400000,527900000,27600000,215100000,416900000,4300000,39000000,527900000,788600000,818600000,564700000,1140800000,254800000,529500000,322900000,298600000,-1200000,37000000,-60500000,-112700000,-180300000,-100000,150500000,-5600000,-1100000,236300000,95500000,-400000,-67500000,5800000,-8600000,-100000,-43800000,-64700000,METSB.HE
