date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,company
2020-12-31,,,-27959000,-4016000,-22807000,70092000,106534000,20453000,20453000,8602000,-19071000,,,,-2851000,975534000,955081000,869000000,-48412000,,-25108000,-26539000,292000,717967000,184967000,-4016000,918000,190342000,898918000,3063000,118751000.0,-78183000,26577000,1734000,260087000,96173000,96748000,313968000,41585000,14796000,260087000,14454000,715901000,70364000,182941000,145140000,243834000,355262000,59641000,27052000,0,26648000,-39166000,-2243000,40798000,-22807000,69018000,-1724000,46337000,17161000,-242000,-427000,-3448000,51563000,-819000,,SRV1V.HE
2019-12-31,,,-122351000,-2009000,-104355000,73952000,83916000,-10730000,-10730000,11989000,-19599000,,,,-18743000,1060949000,1071679000,977033000,-111621000,,-103608000,-110021000,330000,737745000,177598000,-2009000,1180000,131265000,913334000,3063000,202230000.0,-49522000,25406000,1734000,224057000,97423000,27728000,279415000,36391000,4660000,224057000,17461000,724998000,71388000,175534000,118919000,285252000,376121000,81103000,-9484000,0,-5948000,-81748000,-49224000,58400000,-104355000,-65345000,554000,-10727000,8130000,20555000,-4240000,-1136000,84923000,-1957000,-20500000.0,SRV1V.HE
2018-12-31,,,-37275000,-2760000,-30121000,78474000,74831000,-20828000,-20828000,13541000,-13756000,,,,-6057000,959667000,980495000,884836000,-16447000,,-31218000,-33271000,368000,713421000,236372000,-2760000,1194000,184147000,947033000,3063000,,58651000,18025000,1734000,174658000,87745000,93074000,404645000,18555000,1294000,174658000,6032000,652675000,198479000,234270000,121402000,290751000,438199000,79503000,-16031000,0,-3102000,55035000,47498000,58400000,-30121000,69599000,-332000,25535000,3155000,-1131000,-7502000,-35000,52012000,-4521000,-20500000.0,SRV1V.HE
2017-12-31,,,4638000,-1627000,5987000,80442000,130622000,32092000,32092000,13372000,-14013000,,,,-1173000,1114388000,1082296000,983766000,-27454000,,5811000,2837000,407000,605134000,285019000,-1627000,1105000,138758000,888526000,3063000,,96605000,25513000,1734000,185351000,80520000,23475000,402754000,11690000,81838000,185351000,11048000,588368000,206449000,282878000,146072000,176867000,418821000,79780000,-2419000,0,-8517000,20060000,10141000,58400000,5987000,-31108000,-194000,-32538000,4198000,-2634000,-9884000,-35000,-43241000,-3464000,-20500000.0,SRV1V.HE
