date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToNetincome,capitalExpenditures,investments,issuanceOfStock,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,company
2020-12-31,,,3700000,,3200000,21500000,48900000,4200000,4200000,17100000,-300000,,,,600000,292900000,288700000,244000000,-500000,100000,3100000,3200000,900000,23400000,47800000,95000000,800000,1300000,142800000,12600000,600000.0,53000000,500000,400000,6000000,10600000,1100000,43400000,4300000,1500000,7300000,36100000,75100000,19700000,93700000,14700000,500000,58700000,18300000,0,-8900000,-16900000,-19700000,17300000,3200000,-1800000,26800000,6100000,-2800000,200000,-7900000,,,,,APETIT.HE
2019-12-31,,,-6300000,,-4400000,22900000,40800000,-2900000,-2900000,15300000,-200000,,,,-900000,296900000,299800000,256100000,-3400000,1000000,-5400000,-4400000,1700000,23400000,76900000,93900000,300000,4200000,170800000,12600000,,52600000,600000,400000,5300000,7100000,2900000,71900000,5000000,1000000,6600000,35900000,106300000,19400000,91800000,37000000,1400000,66400000,27800000,0,1400000,6500000,4800000,-5500000,-4400000,200000,-5900000,6100000,-2500000,-2100000,-12300000,400000.0,700000.0,13300000.0,100000.0,APETIT.HE
2018-12-31,,,-600000,,-7500000,29900000,47600000,2200000,2200000,11500000,-200000,,,,0,259900000,257700000,212300000,-2800000,-6900000,-600000,-7500000,2300000,23400000,63500000,101100000,700000,5800000,164600000,12600000,1000000.0,59700000,2200000,400000,5400000,7100000,2600000,58900000,5800000,1000000,6800000,37200000,96600000,21000000,98400000,12300000,2400000,80700000,24600000,0,-4800000,19500000,15200000,-26100000,-7500000,-13000000,-23500000,4100000,-4300000,6000000,-5700000,400000.0,700000.0,1900000.0,100000.0,APETIT.HE
2017-12-31,,,1700000,,-600000,34800000,59500000,1000000,1000000,18100000,-200000,,,,-1200000,311800000,310800000,252300000,700000,-3500000,2900000,-600000,6100000,23400000,42400000,112300000,500000,4600000,154700000,12600000,,71600000,3400000,400000,4700000,7200000,15700000,35600000,5300000,1500000,6200000,37500000,80000000,23500000,105800000,18500000,3400000,45800000,21300000,0,8900000,-13500000,-17800000,22500000,-600000,11100000,20000000,5500000,-4300000,-7500000,-5900000,-200000.0,700000.0,14900000.0,100000.0,APETIT.HE
