date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,company
2020-12-31,39166000000,,27212000000,-1497000000,17483000000,26329000000,94449000000,29811000000,29811000000,-739000000,-1594000000,,,,9589000000,232390000000,202579000000,137941000000,-2599000000,,17623000000,17483000000,4805000000,24731000000,186353000000,86674000000,-1497000000,3857000000,43018000000,271530000000,16672000000,1978000000.0,47960000000,42711000000,34945000000,-2689000000,31374000000,43612000000,114320000000,26296000000,5369000000,-2689000000,21363000000,149795000000,29248000000,46924000000,6820000000,67431000000,22218000000,28097000000,31988000000,-1416000000,3743000000,-15201000000,-6660000000,-12492000000,-4547000000,163000000,17483000000,-1467000000,-2707000000,28933000000,7072000000,801000000,-4985000000,384000000,-3185000000,-1010000000,7077000000,-4415000000,,ERIBR.HE
2019-12-31,38435000000,,8762000000,-681000000,2223000000,25658000000,85161000000,21983000000,21983000000,-178000000,-1943000000,,,,6922000000,227216000000,205233000000,142055000000,-13221000000,,1840000000,2223000000,2491000000,24731000000,194505000000,82559000000,-681000000,4040000000,43128000000,276383000000,16672000000,554000000.0,38864000000,41834000000,31200000000,2292000000,37476000000,45079000000,116819000000,31174000000,8111000000,2292000000,22337000000,153914000000,28965000000,48868000000,6759000000,69241000000,28257000000,30863000000,30403000000,4164000000,-1951000000,-3541000000,-2615000000,-6900000000,-6498000000,197000000,2223000000,6690000000,258000000,16873000000,7080000000,-331000000,-3301000000,261000000,10995000000,-1181000000,3244000000,-5037000000,,ERIBR.HE
2018-12-31,37362000000,,-1463000000,792000000,-6530000000,26711000000,74138000000,9964000000,9964000000,-319000000,-1430000000,,,,4813000000,210838000000,200874000000,136700000000,-11427000000,,-6276000000,-6530000000,3474000000,24731000000,180991000000,86978000000,792000000,4237000000,78776000000,268761000000,16672000000,,44610000000,39207000000,30035000000,965000000,28569000000,38389000000,110914000000,23152000000,2255000000,965000000,12849000000,161167000000,32667000000,53469000000,6625000000,86898000000,30870000000,29255000000,29883000000,1951000000,6861000000,-4132000000,-837000000,-4077000000,13014000000,107000000,-6530000000,2505000000,1372000000,9342000000,4662000000,-523000000,-3287000000,-4807000000,-2047000000,-60000000,863000000,-3975000000,,ERIBR.HE
2017-12-31,32980000000,,-35958000000,636000000,-32576000000,26426000000,53169000000,-9218000000,-9218000000,-668000000,-1144000000,,,,-3525000000,205378000000,214596000000,152209000000,-26740000000,,-32433000000,-32576000000,4148000000,24731000000,162311000000,96935000000,636000000,4593000000,70664000000,259882000000,16672000000,,55866000000,32282000000,27815000000,-334000000,28734000000,35884000000,99529000000,21963000000,2545000000,-334000000,12857000000,153423000000,32905000000,64972000000,6713000000,85279000000,30500000000,25547000000,26320000000,-11699000000,11059000000,-16070000000,8586000000,5478000000,9702000000,113000000,-32576000000,-1082000000,-91000000,9601000000,5770000000,-463000000,-3273000000,4719000000,1379000000,67000000,11016000000,-3877000000,-15000000.0,ERIBR.HE
