date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,investments,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,company
2020-12-31,,,1644000,,2181000,870000,25054000,2047000,2047000,10737000,-321000,,,,-537000,78727000,76680000,53673000,-403000,,2181000,2181000,48953000,43786000,114247000,6249000,158033000,12941000,74478000,554000,5807000,26828000,7168000,18968000,21841000,5961000,26828000,22810000,71676000,1619000,59487000,24033000,20000000.0,20939000,6028000,,0,-15925000,-1475000,-1475000,1139000,2181000,-10497000,6903000,5255000,-2395000,-5503000,81000,-1388000,,,,,BITTI.HE
2019-12-31,,,5911000,,7644000,863000,26707000,6184000,6184000,11661000,-225000,,,,-1733000,75386000,69202000,48679000,-273000,,7644000,7644000,41803000,41923000,112327000,5193000,154250000,12941000,72321000,711000,5825000,27065000,6826000,29479000,19861000,5473000,27065000,24238000,73785000,1773000,64699000,18773000,20000000.0,18219000,4747000,,0,-18578000,18556000,13202000,-1572000,7644000,4273000,9649000,4882000,-3545000,870000,-1747000,-2277000,-182000.0,-1000.0,-5354000.0,,BITTI.HE
2018-12-31,,,2709000,,4024000,1386000,23246000,2739000,2739000,14471000,-98000,,,,-1315000,63177000,60438000,39931000,-30000,,4024000,4024000,29691000,22369000,110035000,6606000,132404000,12941000,70058000,1090000,5821000,27036000,5325000,9305000,20510000,3747000,27036000,23448000,66527000,1592000,74523000,18848000,,14585000,5707000,700000.0,0,-19832000,-949000,-11657000,-175000,4024000,-32038000,-548000,4275000,-3909000,-4284000,-850000,-3697000,-208000.0,100000.0,-10700000.0,-100000.0,BITTI.HE
2017-12-31,,,-5826000,,-3108000,2886000,13334000,-6243000,-6243000,12789000,-87000,,,,-1065000,52318000,58561000,38984000,417000,1653000,-4761000,-3108000,14951000,21709000,116678000,4260000,138387000,12941000,76753000,1055000,5820000,26984000,2672000,6518000,20170000,2463000,26984000,21946000,91644000,1354000,95907000,15866000,,10574000,9162000,5000.0,0,-18549000,-2702000,-13410000,2773000,-3108000,-32003000,-45000,3563000,-6363000,5598000,-2847000,-11408000,-728000.0,-1000.0,-1784667.0,-100000.0,BITTI.HE
