date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,repurchaseOfStock,company
2020-12-31,3897000000,,743000000,80000000,-2523000000,2822000000,8586000000,1687000000,1687000000,180000000,-235000000,,,,3256000000,21852000000,20165000000,13266000000,-944000000,-3000000,-2513000000,-2523000000,1953000000,443000000,23646000000,12465000000,80000000,4916000000,36191000000,246000000,169000000,-4143000000,6149000000,5074000000,15919000000,7077000000,6940000000,11761000000,1822000000,16271000000,2588000000,18215000000,1284000000,5438000000,1185000000,7679000000,5015000000,2242000000,3174000000,,-968000000,0,-1517000000,1032000000,883000000,-845000000,-2523000000,1030000000,-95000000,1759000000,1132000000,10000000,-148000000,553000000,-418000000,-1000000,3860000000,-479000000,,,NOKIA.HE
2019-12-31,4395000000,,156000000,76000000,7000000,3061000000,8674000000,1238000000,1238000000,-20000000,-299000000,,,,138000000,23315000000,22077000000,14641000000,-1082000000,-7000000,18000000,7000000,2429000000,427000000,23727000000,15325000000,76000000,5242000000,39128000000,246000000,81000000,-1613000000,6916000000,5527000000,16265000000,10246000000,5910000000,12055000000,5124000000,16617000000,2768000000,16808000000,1350000000,7369000000,200000000,7681000000,3985000000,2936000000,3786000000,,482000000,0,-167000000,92000000,-479000000,-2232000000,7000000,-351000000,-95000000,390000000,1660000000,-17000000,-560000000,285000000,159000000,-11000000,511000000,-690000000,,,NOKIA.HE
2018-12-31,4598000000,,-360000000,82000000,-340000000,3277000000,8978000000,1111000000,1111000000,-8000000,-267000000,,,,189000000,22563000000,21452000000,13585000000,-1471000000,214000000,-549000000,-340000000,3353000000,436000000,24146000000,15289000000,82000000,5303000000,39517000000,246000000,129000000,-1062000000,7214000000,5452000000,15669000000,9443000000,6261000000,14104000000,4911000000,16077000000,1790000000,18271000000,1208000000,6484000000,759000000,7947000000,2826000000,3168000000,4773000000,,318000000,0,-315000000,110000000,-969000000,-645000000,-340000000,-1108000000,-184000000,360000000,1455000000,-17000000,-1081000000,-544000000,246000000,1000000,188000000,-672000000,1000000.0,,NOKIA.HE
2017-12-31,4859000000,,-510000000,80000000,-1494000000,3652000000,9592000000,1101000000,1101000000,-20000000,-252000000,,,,927000000,23147000000,22046000000,13555000000,-1611000000,-21000000,-1437000000,-1494000000,3971000000,447000000,24806000000,16138000000,80000000,5590000000,41024000000,246000000,220000000,1147000000,8605000000,5248000000,14298000000,8929000000,7369000000,12744000000,4582000000,15778000000,1853000000,19864000000,1159000000,6919000000,1044000000,8585000000,3457000000,2646000000,3996000000,141000000.0,963000000,0,10000000,43000000,-1749000000,1221000000,-1494000000,-128000000,-200000000,1811000000,1591000000,-7000000,-963000000,-296000000,-421000000,-45000000,1210000000,-601000000,1000000.0,-785000000.0,NOKIA.HE
