date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,minorityInterest,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,otherCashflowsFromInvestingActivities,issuanceOfStock,company
2020-12-31,,,56600000,,45800000,4600000,228600000,67078800,67078800,65821200,-10100000,,,,10800000,986400000,919321200,757800000,-10478800,,45800000,45800000,152200000,789600000,571400000,24900000,1361000000,100000,900000,85300000,43100000,781800000,486000000,5000000,77100000,303100000,4400000,82500000,492700000,240000000,179800000,2200000,-362600000,95000000,290500000,6800000,40100000,,-500000,-1400000,-36000000,-44700000,-71200000,45800000,36500000,143700000,90100000,-16500000,-1200000,5300000,-10000000,4100000,-13000000,,,,TTALO.HE
2019-12-31,,,66800000,,54200000,7200000,243500000,83600000,83600000,63300000,-12400000,,,,12700000,1030700000,947100000,787200000,-16800000,,54100000,54200000,161900000,818100000,541200000,26000000,1359300000,100000,900000,55100000,47500000,779200000,486000000,4600000,40600000,266600000,3700000,42900000,492700000,262700000,148600000,2300000,-399900000,101500000,331600000,5600000,38500000,,-500000,17700000,-46800000,-83400000,-123100000,54200000,3700000,173600000,88800000,-16500000,300000,-7900000,-14200000,19900000,-15900000,-25500000.0,100000.0,,TTALO.HE
2018-12-31,,,68200000,100000,68700000,41400000,196300000,66000000,66000000,47900000,-7700000,,,,-500000,744700000,678700000,548400000,2200000,,68700000,68700000,167700000,650500000,511700000,12400000,1162300000,100000,1400000,100000,51000000,768700000,511500000,6200000,36900000,199100000,5800000,42400000,518200000,83600000,133700000,2400000,-424700000,89600000,372900000,5800000,33200000,100000.0,100000,0,-224400000,150400000,127600000,68700000,3900000,100600000,40800000,-16500000,300000,1900000,-8400000,-11300000,-9400000,-14400000.0,1600000.0,,TTALO.HE
2017-12-31,,,3900000,100000,7200000,41800000,175700000,32200000,32200000,62300000,-14200000,,,,-3300000,689500000,657300000,513800000,-28300000,,7200000,7200000,109200000,445000000,457200000,6300000,902300000,100000,1400000,-68800000,37000000,583300000,525900000,8000000,33000000,137800000,7400000,12300000,525900000,92100000,109400000,300000,-235300000,69800000,243900000,5200000,27000000,100000.0,100000,1300000,-102700000,-82700000,26500000,7200000,-6100000,70000000,38900000,-16500000,300000,1000000,-15800000,21300000,-11400000,-14400000.0,-5100000.0,125000000.0,TTALO.HE
