date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,investments,company
2020-12-31,107900000,,34600000,2700000,8100000,436200000,727900000,199100000,199100000,-15300000,-28200000,,,,26400000,3263400000,3064300000,2535500000,-164500000,,8200000,8100000,152700000,98000000,2586600000,1298700000,2700000,33100000,609400000,3888000000,64300000,253400000,1185600000,205800000,971900000,-49200000,192600000,484800000,1353400000,123600000,117100000,-49200000,429500000,2047100000,94200000,174100000,729200000,897300000,579700000,353000000,-149200000,-21300000,-54100000,-131800000,8100000,72500000,-14800000,240000000,116900000,8900000,-77300000,98700000,106800000,-400000,44700000,-46700000,,,CGCBV.HE
2019-12-31,105600000,,145900000,2800000,89400000,507700000,873100000,261500000,261500000,-1700000,-27200000,,,,56500000,3683400000,3421900000,2810300000,-115600000,,89400000,89400000,242100000,98000000,2800100000,1424500000,2800000,54000000,650100000,4227400000,64300000,64400000,1247100000,222400000,1058500000,15100000,224800000,420200000,1624400000,131200000,220600000,15100000,489500000,2091400000,121100000,123900000,893800000,805600000,713000000,438700000,106500000,-150600000,98100000,24900000,89400000,184400000,6600000,303500000,114200000,6300000,-70700000,13500000,-69600000,-300000,37100000,-68500000,-2200000.0,,CGCBV.HE
2018-12-31,94700000,,161200000,3000000,107000000,487300000,814200000,244700000,244700000,-12500000,-21700000,,,,53100000,3303500000,3058800000,2489300000,-83500000,,108100000,107000000,230400000,98000000,2255300000,1425600000,3000000,48200000,462900000,3683900000,64300000,52000000,1262500000,189600000,970900000,800000,231000000,256300000,1348600000,137300000,180900000,800000,308700000,1842800000,100100000,224300000,835600000,699800000,688800000,424200000,-49600000,-137300000,115300000,37700000,107000000,-59200000,100000,40200000,64900000,1800000,-67600000,-54300000,-54800000,-600000,14500000,-71500000,-9400000.0,-500000.0,CGCBV.HE
2017-12-31,98200000,,189100000,2300000,132400000,495400000,852100000,258100000,258100000,400000,-20500000,,,,56500000,3249800000,2991700000,2397700000,-69000000,,132600000,132400000,215200000,98000000,2144200000,1422800000,2300000,45600000,519900000,3569300000,64300000,57500000,1220600000,178700000,986700000,39900000,209100000,309100000,1291700000,150000000,96200000,39900000,310800000,1731400000,116100000,220900000,741500000,663700000,623300000,398100000,-38700000,-89700000,115300000,-62600000,132400000,24000000,-4600000,180900000,66200000,1200000,-61200000,-4900000,100000,-1400000,17300000,-75300000,-9400000.0,-4700000.0,CGCBV.HE
