date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,company
2020-12-31,,,1225750,,960192,,5321531,1518754,1518754,3309548,-7602,,,,265558,18410292,16891538,13088761,-293004,,960192,960192,97018.0,3981222,8859696,303400.0,958480,12840915,80000,59983,585911,206134.0,3278443.0,8193785,303400.0,5541423,3775088,8193785,576882.0,8584147,1025.0,5484235,2982741,259813,5000,0,-2051654,-704861,369590,960192,-301230,2455279,451830,-704861,9255,636351,-399412,,,,AALLON.HE
2019-12-31,,,515165,,383184,,3750684,737920,737920,2715346,-1205,,,,131981,13573063,12835143,9822379,-222755,,383184,383184,115755.0,3074631,8552222,116740.0,917818,11626852,80000,59983,278437,,1479918.0,8193785,116740.0,5842653,3074631,8193785,657587.0,9250827,6025.0,6956549,3348191,348107,5000,0,-1138081,4105379,139911,383184,5756451,1158211,282614,-1535701,386389,-48687,-658135,6381185.0,-209824.0,-740105.0,AALLON.HE
2018-12-31,,,-314230,,-251383,,-130039,-314232,-314232,184193,-1205,,,,-62846,0,314232,130039,2,,-251383,-251383,,113329,416947,,7579,530275,2500,26186,-104744,,,519191,,86202,113329,519191,,530275,,416947,417887,88418,5000,0,-1138081,4105379,139911,-251383,5756451,1158211,282614,-1535701,386389,-48687,-658135,6381185.0,-209824.0,-740105.0,AALLON.HE
