date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,20700000,,237000000,80400000,176800000,273000000,586800000,291800000,291800000,1300000,-24800000,,,,53300000,3301800000,3010000000,2715000000,-54800000,,183700000,176800000,37400000,115000000,2231300000,1284100000,80400000,155200000,3595800000,366400000,-100000.0,1140100000,352200000,732400000,-337400000,125400000,315500000,937700000,61300000,72400000,-306100000,1365300000,1333000000,2300000,514300000,544200000,810000000,473400000,362500000,5500000,-6600000,-254300000,51000000,-41800000,176800000,116000000,-16500000,428600000,187100000,800000,-92900000,-4700000,50900000,100000,21400000,-223500000,HUH1V.HE
2019-12-31,22000000,,256800000,89100000,190100000,267800000,582800000,280200000,280200000,12800000,-18100000,,,,57800000,3399000000,3118800000,2816200000,-23400000,,199000000,190100000,35200000,115000000,2173500000,1348000000,89100000,149000000,3610600000,366400000,,1067100000,343100000,735700000,-200500000,113700000,199400000,950700000,50900000,66200000,-169200000,1398100000,1320600000,7300000,577100000,623400000,742700000,497800000,405500000,-3800000,66400000,-238500000,-2400000,-91400000,190100000,104400000,7900000,426400000,159700000,-1600000,-87600000,19100000,-40200000,-1400000,27800000,-203900000,HUH1V.HE
2018-12-31,20200000,,194400000,52200000,155400000,248100000,472800000,204900000,204900000,-400000,-21300000,,,,37500000,3103600000,2898700000,2630800000,-10500000,,156900000,155400000,40500000,115000000,1972700000,1215100000,52200000,125700000,3240000000,366400000,100000.0,965500000,315400000,698100000,-231800000,104100000,95000000,928100000,47800000,16400000,-200300000,1233400000,1156500000,7400000,476500000,563700000,626800000,497700000,361300000,-3600000,-5500000,-252400000,44800000,-42700000,155400000,-21000000,300000,273700000,162000000,400000,-83500000,-37600000,-25900000,-4000000,22600000,-196900000,HUH1V.HE
2017-12-31,19200000,,246800000,49400000,193100000,230400000,514400000,270600000,270600000,-5800000,-14900000,,,,50300000,2988700000,2718100000,2474300000,-23800000,,196500000,193100000,36500000,115000000,1722400000,1158800000,49400000,66300000,2930600000,366400000,,917000000,343800000,633800000,-239600000,113200000,116000000,734900000,51200000,24000000,-206100000,1055000000,1084500000,7600000,488500000,523700000,635900000,444800000,352100000,-3300000,41900000,-206400000,43200000,-32800000,193100000,10100000,-7400000,256700000,119600000,1300000,-76000000,-69600000,-37800000,-4000000,7100000,-214800000,HUH1V.HE
