date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,,,37257000,16062000,22915000,123410000,166321000,41797000,41797000,1114000,-5119000,,,,12589000,1504036000,1462239000,1337715000,-4540000,,24668000,22915000,83932000,500651000,422822000,16062000,60811000,939535000,48055000,407000,190407000,47886000,164829000,184360000,6118000,26576000,288736000,1481000,10130000,185566000,429800000,239176000,15680000,174061000,105661000,139476000,106532000,120251000,-149000,0,-43242000,-22440000,-34378000,22915000,22181000,-2420000,102221000,55878000,510000,-11828000,-110000,23428000,-40840000,ATRAV.HE
2019-12-31,,,26183000,14420000,15086000,128315000,162726000,33709000,33709000,702000,-5411000,,,,9223000,1451273000,1417564000,1288547000,-7526000,,16960000,15086000,84677000,494398000,419876000,14420000,51423000,928694000,48055000,1051000,179506000,54328000,160779000,192315000,9264000,4395000,273328000,4048000,13854000,193561000,432078000,225662000,16234000,174420000,105925000,141746000,114291000,111246000,-51000,0,-37093000,-39947000,-51528000,15086000,413000,545000,88489000,53946000,59000,-11263000,-318000,19457000,-39418000,ATRAV.HE
2018-12-31,,,22341000,12864000,16362000,123223000,152855000,29148000,29148000,484000,-5565000,,,,4540000,1438505000,1409357000,1285650000,-6807000,,17801000,16362000,86747000,471396000,415321000,12864000,48796000,899581000,48055000,4221000,176016000,55443000,162590000,191250000,14892000,3982000,262233000,5115000,9063000,192527000,401175000,218508000,15669000,165984000,101035000,153058000,109270000,89615000,-566000,0,-45180000,12581000,-2176000,16362000,845000,1042000,47159000,45070000,-151000,-14077000,-680000,-14273000,-44463000,ATRAV.HE
2017-12-31,,,35514000,12105000,25859000,135060000,173313000,39555000,39555000,-1302000,-8030000,,,,7146000,1436188000,1396633000,1262875000,-4041000,,28368000,25859000,89094000,479122000,418573000,12105000,49741000,909800000,48055000,2192000,173937000,60291000,166800000,196581000,15179000,3137000,295081000,6023000,60596000,197858000,409302000,213514000,15911000,162679000,112030000,123326000,96155000,106281000,671000,0,-45337000,-3477000,-16594000,25859000,-1454000,-4030000,64507000,46054000,797000,-12952000,-165000,-7406000,-53144000,ATRAV.HE
