date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,deferredLongTermAssetCharges,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeToOperatingActivities,otherCashflowsFromInvestingActivities,changeToInventory,investments,dividendsPaid,company
2020-12-31,,,-2438000,9833000,-4127000,1682000,10897000,-206000,-206000,4401000,-1917000,,,,400000,80707000,80913000,69810000,-2232000,,-2838000,-4175000,1675000,86000,52366000,3980000,9833000,806000,66179000,4215000,898000.0,-37118000,160000,899000,36797000,248000,4471000,13398000,1785000,36797000,48142000,15010000,205000,1406000,7410000,28979000,87000,5171000,,2668000,-8593000,-2277000,5491000,9329000,-4127000,417000,-250000,-21000,3540000,5020000,-1621000,-1311000,1600000,-8827000,,,,,,NLG1V.HE
2019-12-31,,,-10863000,1695000,-12903000,1575000,9726000,-2697000,-2697000,5623000,-2170000,,,,570000,69340000,72037000,59614000,-8166000,,-11433000,-12951000,1933000,86000,51287000,-894000,1695000,1165000,52088000,4215000,897000.0,-33119000,237000,899000,27924000,244000,4054000,11150000,781000,27924000,35810000,12993000,209000,-3726000,7308000,13041000,87000,4466000,,-1249000,-81000,-6913000,-7837000,9329000,-12903000,-7460000,-250000,-21000,458000,5225000,2435000,-924000,6956000,-727000,1179000.0,-81000.0,-6000.0,,,NLG1V.HE
2018-12-31,,,-7397000,1123000,-8804000,6502000,13023000,163000,163000,4541000,-998000,,,,414000,78874000,78711000,65851000,-7560000,,-7811000,-8852000,1390000,86000,28360000,12028000,1123000,1058000,41511000,4215000,,-20238000,356000,5970000,27965000,2818000,11514000,14404000,1011000,27965000,8592000,22547000,194000,4668000,7261000,13549000,81000,4917000,14000.0,-4271000,6024000,-764000,-1512000,9329000,-8804000,3682000,-250000,-21000,-830000,1990000,551000,-748000,9719000,-746000,1179000.0,-81000.0,-15000.0,-157000.0,-1116000.0,NLG1V.HE
2017-12-31,,,275000,1261000,-1167000,6876000,14335000,1658000,1658000,4023000,-1194000,,,,517000,75772000,74114000,61437000,-1383000,,-242000,-1189000,58000,86000,32917000,13409000,1261000,733000,47587000,4215000,,-11311000,714000,8970000,20419000,5755000,7832000,14346000,897000,20419000,11946000,20626000,232000,4381000,8623000,13558000,67000,5835000,567000.0,1753000,-1695000,-939000,3778000,5076000,-1167000,5527000,-250000,-17000,3461000,1778000,-207000,-359000,1329000,-1745000,1179000.0,1000.0,-25000.0,-157000.0,-1116000.0,NLG1V.HE
