date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,investments,issuanceOfStock,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,company
2020-12-31,,,6700000,5200000,2500000,67500000,130200000,15300000,15300000,33900000,-1900000,,,,3200000,261700000,246400000,131500000,-8600000,,3500000,1700000,24200000,16700000,129900000,137800000,5200000,5700000,272900000,3600000,300000,111400000,8600000,47000000,6100000,16600000,27900000,60500000,7800000,10800000,11000000,31700000,149800000,3600000,66600000,49300000,52800000,68800000,13300000,0,-3800000,-18700000,-20000000,5800000,2500000,15700000,-1300000,-3100000,42500000,13500000,20800000,-6100000,6000000,-4600000,,,,,,RAP1V.HE
2019-12-31,,,9800000,4600000,4400000,70300000,138700000,15000000,15000000,40800000,-2900000,,,,5800000,275700000,260700000,137000000,-5200000,,4000000,3800000,26400000,16700000,138000000,146900000,4600000,4000000,289500000,3600000,300000,109200000,8400000,49100000,17400000,13900000,12300000,74500000,4600000,5800000,22300000,39000000,156700000,4400000,71400000,48600000,46100000,92600000,10900000,0,-14600000,-8900000,-13200000,-3600000,4400000,-1100000,-1600000,800000,25900000,12600000,11200000,3900000,-2600000,-5100000,-4400000.0,700000.0,-7800000.0,-2300000.0,-1100000.0,RAP1V.HE
2018-12-31,,,12700000,5100000,6100000,75700000,135400000,16000000,16000000,37000000,-1800000,,,,6200000,262700000,246700000,127300000,-3300000,,6500000,5000000,26000000,16700000,130000000,142000000,5100000,4100000,277100000,3600000,900000,108600000,8100000,48500000,13100000,6400000,13400000,111800000,5300000,26500000,18700000,28600000,167300000,300000,67500000,51100000,10100000,99100000,16000000,0,-4700000,5600000,800000,1900000,6100000,3100000,-1300000,400000,6700000,6500000,-9000000,-4000000,5200000,-5600000,-4400000.0,700000.0,-7800000.0,-1500000.0,-2000000.0,RAP1V.HE
2017-12-31,,,5700000,6900000,2400000,74000000,130300000,10700000,10700000,38700000,-2000000,,,,3300000,253600000,242900000,123300000,-5000000,,2400000,1800000,25600000,16700000,123000000,135700000,6900000,3700000,265600000,3600000,-100000,104700000,9400000,47700000,10700000,7600000,10300000,79000000,6500000,5200000,16300000,31900000,152400000,400000,62400000,46800000,34600000,92500000,15400000,0,-4900000,-51200000,-33300000,2300000,2400000,-23500000,-1300000,-4400000,19100000,6900000,8400000,1000000,-1900000,-5100000,-4400000.0,24900000.0,100000.0,-3800000.0,-3200000.0,RAP1V.HE
