date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,goodWill,deferredLongTermAssetCharges,shortLongTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToNetincome,investments,repurchaseOfStock,changeToInventory,changeToAccountReceivables,capitalExpenditures,otherCashflowsFromFinancingActivities,company
2020-12-31,,,-800000,100000,-700000,33900000,55200000,-1700000,-1700000,13500000,-500000,,,,-100000,103100000,104800000,47900000,900000,,-700000,-700000,9300000,7700000,59100000,44200000,100000.0,35200000,103400000,1100000,35400000,4400000,1900000,6000000,35200000,53600000,38100000,500000,34900000,12400000,19500000,4200000,,,,,0,-3600000,-3800000,-6900000,-700000,-1500000,9000000,9500000,-3600000,-3100000,200000,,,,,,,PUMU.HE
2019-12-31,,,1994572,50621,2303326,33035433,56293921,73779,73779,14376438,-535291,,,,-314964,108157577,108083798,51863656,1920793,,2309536,2303326,3487745,7667849,60293666,48366269,50621.0,3491204,108710555,1052634,39645786,4604069,1771937,7478629,35331884,57842693,40739424,550027,40559795,14814966,17351739,4504793,4318729.0,1255275.0,4867893.0,4478545.0,-166970,-8646725,941947,-2184483,2303326,988315,11819522,8808270,-3600000,-3120640,374065,-31444.0,-5790.0,87161.0,413668.0,-2506978.0,,PUMU.HE
2018-12-31,,,2416193,50621,1904487,26405436,44848387,628340,628340,12687058,-419905,,,,511706,88110572,87482232,43262185,1787853,,1904487,1904487,753022,7667849,46622001,49337350,,2827786,95959347,1052634,40616867,3777771,1950357,6490313,31874598,52629818,38976590,614861,47549629,13288222,10969632,4119537,1034699.0,1176385.0,2345975.0,4439188.0,-858516,-7290798,12372600,7372928,1904487,1484170,1402040,5127551,-3600000,-4999672,-4804043,-31444.0,-5790.0,219607.0,-187047.0,-4900478.0,,PUMU.HE
2017-12-31,,,5166115,294351,4225908,21718268,41049844,2477692,2477692,10906474,-220235,,,,942472,76408009,73930317,35358165,2688423,,4223643,4225908,526429,7667849,24563569,52498132,294351.0,2478032,77356051,1052634,43777649,3410679,412135,5006142,17556847,47423265,28204689,461234,51643404,8759326,3596043,2826141,328299.0,,1608062.0,2997351.0,-428332,-2045363,709118,-5559811,4225908,1335818,8940991,5947409,-3600000,-6258680,-1470547,-31444.0,-5790.0,66088.0,600464.0,-1148607.0,-10249.0,PUMU.HE
