date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,investments,issuanceOfStock,changeToOperatingActivities,company
2020-12-31,,,21300000,,17800000,57100000,142900000,25800000,25800000,42600000,-1700000,,,,3500000,342400000,316600000,199500000,-4500000,,17800000,17800000,19300000,299300000,156300000,10400000,455600000,60500000,700000,115400000,17900000,81400000,-19600000,5500000,130700000,204800000,1400000,7500000,-19600000,66500000,272400000,10500000,55600000,48700000,69600000,92300000,29600000,16800000,-5600000,29800000,14600000,17800000,66500000,1400000,56100000,15200000,1100000,-15200000,200000,7700000,-3800000,-5800000,,,,ALTIA.HE
2019-12-31,,,24600000,,18400000,58000000,139700000,27100000,27100000,36700000,-1600000,,,,6200000,359600000,332500000,219900000,-2500000,,18400000,18400000,23200000,249000000,151200000,10600000,400200000,60500000,400000,112000000,18200000,80100000,-21300000,4600000,64200000,147600000,900000,7700000,-21300000,69700000,212400000,10200000,47900000,55800000,76100000,92000000,25700000,3800000,-6000000,-10200000,-23900000,18400000,22200000,-500000,52600000,15900000,900000,-13700000,7400000,5300000,-200000,-4800000,-200000.0,,,ALTIA.HE
2018-12-31,,,18700000,,15100000,67600000,143600000,21100000,21100000,40500000,-1700000,,,,3600000,357300000,336200000,213700000,-2400000,,15100000,15100000,27900000,240300000,150100000,9100000,390400000,60500000,1700000,107300000,18100000,80700000,-17700000,4100000,42000000,139500000,800000,7900000,-17700000,63100000,205300000,9300000,41500000,62000000,82500000,99600000,25800000,-4300000,-5200000,-10700000,-9500000,15100000,-10400000,-2200000,6500000,12900000,1000000,-13700000,-5500000,-7400000,-5800000,-6200000,-200000.0,1200000.0,,ALTIA.HE
2017-12-31,,,25000000,,18300000,72000000,150200000,25900000,25900000,38100000,-1600000,,,,6700000,359000000,333100000,208800000,-900000,,18300000,18300000,31600000,261600000,136800000,13000000,398400000,60500000,1400000,92000000,19100000,82100000,-15700000,9400000,52400000,153400000,1000000,12200000,-15700000,62700000,203600000,9000000,23100000,55300000,88900000,94500000,29200000,-2600000,-7800000,27500000,-43000000,18300000,-15700000,-2500000,37600000,13100000,1200000,-10446800,1200000,9400000,-1600000,-8100000,-200000.0,1200000.0,-1300000.0,ALTIA.HE
