date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,accountsPayable,longTermDebt,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,,,11595984,,9894286,993242,13289610,11650997,11650997,593103,-1000,,,,1701698,13289610,1638613,0,-55013,,9894286,9894286,6202410,77297415,59000.0,83499825,15178568,49233337,5827374,12885510,1398892,8607973,375036,1387163.0,12885510,26906.0,9646179,72427848,77297415,1038206,88000,,0,-1954,-47664,-10875941,120481,221508,9894286,-23651559,-12773664,52000,-2312377,88,-65994,-22840519,-1954,SIEVI.HE
2019-12-31,,,15876965,,12807292,690962,17226774,15979999,15979999,503954,-104000,,,,3069673,17226774,1246775,0,-103034,,12807292,12807292,3448002,78062608,40000.0,81510610,15178568,50220039,3164296,12664001,651793,32259532,271659,406354.0,12664001,76858.0,32297825,48484134,78062608,38293,13000,,0,-17775,-6045473,-7778436,-25058,221508,12807292,29550355,37346567,52000,-1732963,28413,-65994,24483920,-17775,SIEVI.HE
2018-12-31,,,15991228,,13537505,763945,17532901,16279453,16279453,488256,-252000,,,,2453723,17532901,1253448,0,-288225,,13537505,13537505,12847320,66988279,,79835600,15178568,39145709,6638391,12664002,251393,2709177,208929,,12664002,3759.0,2767345,76813103,66988279,58168,31374,6000000.0,0,-2019,-15000000,-15000000,-126902,221508,13537505,-2130155,12871864,1000,-1732963,-28636,-65994,-511103,-2019,SIEVI.HE
2017-12-31,,,15616382,,12782516,740751,17604278,15976404,15976404,887123,-278000,,,,2833866,17604278,1627874,0,-360022,,12782516,12782516,25864127,53450774,,79314901,15178568,25608204,4393603,12664002,455495,4839331,470524,60418.0,12664002,,4851586,74007820,53450774,12255,40524,21000000.0,0,-2019,21000000,21000000,-79133,221508,12782516,-4932901,-25932901,1000,-1732963,286468,-65994,-38922752,-2019,SIEVI.HE
