date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,minorityInterest,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,company
2020-12-31,,,527700000,,433400000,966300000,1514000000,550100000,550100000,-487500000,-89700000,,,,92300000,10669200000,10119100000,9155200000,-22400000,,435400000,433400000,193300000,197800000,4452700000,2189200000,285300000,6641900000,197300000,9900000,1580700000,66700000,572100000,213400000,188600000,154500000,2265000000,1500000,59600000,244800000,3257900000,2208200000,221800000,1423800000,31700000,836000000,408700000,836900000,1091300000,,5800000,0,-413700000,-344400000,-707500000,287900000,433400000,30100000,-1200000,1152400000,485100000,-100000,-249900000,5500000,-64300000,-113200000,4800000,-203900000,,KESKOB.HE
2019-12-31,,,403200000,115000000,339200000,1003600000,1529800000,454600000,454600000,-405300000,-101400000,,,,69600000,10720300000,10265700000,9190500000,-51400000,11600000,333600000,339200000,191900000,197800000,4758500000,2025800000,253700000,6899300000,197300000,61900000,1419800000,56700000,479000000,210900000,210600000,124400000,2185500000,7600000,39800000,246300000,3642900000,2296500000,78400000,1354900000,34500000,846900000,477300000,1037700000,1029900000,115000000.0,4600000,0,-616800000,-121800000,-295400000,33100000,339200000,-14800000,400000,897000000,476900000,3600000,-232000000,-47800000,26300000,58400000,69300000,-377600000,,KESKOB.HE
2018-12-31,,,294500000,107000000,158000000,913400000,1393300000,413100000,413100000,-378200000,-107800000,,,,62100000,10382800000,9969700000,8989500000,-118600000,-55900000,232400000,158000000,195500000,197800000,4345700000,1914100000,251400000,6366800000,197300000,75600000,1311000000,58800000,278700000,208000000,273600000,139200000,2129500000,8100000,114100000,244900000,3219400000,2255300000,144300000,1439900000,59100000,845200000,177800000,913000000,982700000,107000000.0,-1700000,0,-209000000,-413200000,-545700000,-24500000,158000000,-30600000,-1100000,725200000,447200000,164300000,-221500000,-33900000,46700000,113400000,131700000,-224100000,-24400000.0,KESKOB.HE
2017-12-31,,,342300000,98700000,257800000,1407600000,1466100000,271300000,271300000,-328500000,-11300000,,,,57900000,10491800000,10220500000,9025700000,71000000,-15600000,284400000,257800000,186900000,197800000,2239500000,2133400000,266700000,4471600000,197300000,1800000,1536000000,109000000,172300000,202300000,345600000,132700000,2001200000,5600000,287800000,220300000,1243100000,2383300000,140400000,1774200000,94200000,870400000,121800000,938600000,1023700000,98700000.0,-1500000,0,-88300000,-200000,-242900000,32200000,257800000,-30600000,-1100000,301700000,130200000,-16800000,-199000000,-12500000,-78100000,-43700000,-27900000,-303100000,-24400000.0,KESKOB.HE
