date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,changeToOperatingActivities,otherCashflowsFromFinancingActivities,company
2020-12-31,,,-425000,,-98000,7939000,12796000,-160000,-160000,3374000,-288000,,,,-327000,25635000,25795000,12839000,-265000,,-98000,-98000,247000,9805000,17148000,26953000,1000000,-1000.0,11448000,358000,3000000,4700000,5686000,2801000,5201000,5043000,992000,4700000,6302000,11623000,95000,13901000,5891000,3411000,2932000,2217000,-80000,-1132000,-1959000,-232000,-1119000,139000,-98000,419000,-177000,3674000,1642000,-1000,-1026000,389000,3046000,-173000,-1906000,,,ACG1V.HE
2019-12-31,,,3257000,,3940000,7854000,16580000,3326000,3326000,4137000,-124000,,,,-683000,31189000,27863000,14609000,-69000,,3940000,3940000,260000,11431000,18096000,29527000,1000000,-1000.0,12572000,380000,3000000,4524000,6134000,2382000,6725000,4673000,1033000,4524000,5479000,14639000,15000,14836000,8937000,3227000,3321000,3489000,-80000,1052000,-3482000,-184000,-983000,139000,3940000,-184000,-5000,4287000,1263000,-1000,-800000,-988000,-223000,-757000,-3548000,-159000.0,1000.0,ACG1V.HE
2018-12-31,,,2763000,,3244000,7733000,15974000,2932000,2932000,4234000,-122000,,,,-481000,29136000,26204000,13162000,-169000,,3244000,3244000,281000,10945000,14888000,25833000,1000000,,9432000,446000,3000000,4456000,4902000,2565000,6234000,3985000,841000,4456000,4024000,13611000,15000,11607000,8714000,3258000,2332000,2733000,-80000,1489000,-3323000,3931000,3465000,139000,3244000,2181000,-5000,2039000,1076000,-1000,-467000,-410000,-2872000,-487000,-3357000,-1000.0,1000.0,ACG1V.HE
2017-12-31,,,792000,,1269000,6849000,12070000,773000,773000,3374000,-55000,,,,-477000,23924000,23151000,11854000,19000,,1269000,1269000,268000,5408000,12096000,17504000,1000000,,6655000,424000,3000000,4441000,3589000,384000,3981000,3501000,7000,4441000,2484000,8148000,15000,8828000,5842000,18000,1922000,2394000,-80000,1000,-928000,16000,217000,201000,1269000,126000,-5000,836000,1074000,-1000,-467000,700000,-1724000,-484000,-962000,-934000.0,-1000.0,ACG1V.HE
