date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,longTermInvestments,deferredLongTermLiab,otherCurrentAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeToInventory,changeToAccountReceivables,company
2020-12-31,,,-196972000,,-196864000,42888000,2868000,-184331000,-184331000,68029000,-15612000,,,,-108000,10848000,195179000,7980000,-12641000,,-196864000,-196864000,387652000,832743000,254247000,330695000,27530000,584942000,394385000,-876425000,34803000,-20008000,5270000,11260000,144250000,99000,-20008000,174970000,17050000,-56957000,1262000,72074000,2464000,17327000,,,,0,-26566000,86198000,99039000,3729000,14535000,-196864000,-4467000,-36000,-76904000,76575000,1000,-1694000,39656000,-4427000,,,ENDOM.HE
2019-12-31,,,-76790000,,-76698000,19369000,1071000,-52490000,-52490000,30543000,-19471000,,,,-92000,7579000,60069000,6508000,-24300000,,-76698000,-76698000,371334000,732521000,253576000,336026000,5501000,589602000,240157000,-678841000,12653000,42189000,5478000,15727000,197209000,175455000,42189000,195701000,17089000,-35308000,1136000,41960000,37000,9810000,5478000.0,,,0,-80308000,8551000,155945000,-5456000,155523000,-76698000,-3204000,99000,-78941000,3649000,1000,-8129000,-436000,-75080000,,,ENDOM.HE
2018-12-31,,,-37497000,,-37382000,28657000,92818000,-48452000,-48452000,69657000,-11624000,,,,-115000,105324000,153776000,12506000,10955000,,-37382000,-37382000,355286000,542065000,249197000,251691000,2696000,500888000,281182000,-601921000,8951000,30365000,5394000,18931000,66347000,37080000,30365000,115734000,24474000,-103595000,3767000,171472000,1762000,17152000,,355286000.0,,0,-158913000,-16016000,166895000,8341000,188753000,-37382000,3118000,2743000,-7607000,42956000,1000,-5842000,-21522000,-90866000,,,ENDOM.HE
2017-12-31,,,-69252000,,-69252000,31133000,98179000,-41804000,-41804000,72751000,-6132000,,,,0,121397000,163201000,23218000,-27448000,,-69252000,-69252000,63062000,343873000,115179000,45381000,4904000,160560000,262157000,-566056000,7724000,5407000,5170000,15813000,31538000,3940000,5407000,62238000,30090000,-17681000,8077000,73304000,2181000,11630000,,63062000.0,3850000.0,0,-12257000,-2419000,-2419000,1161000,188753000,-69252000,-13627000,70000,979000,36099000,1927000,-5842000,25181000,-12337000,-1267000.0,9057000.0,ENDOM.HE
