date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortTermInvestments,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,repurchaseOfStock,company
2019-12-31,,,9257623,1656142,7239677,8649911,17883834,1062628,1062628,5682983,-903020,,,,1674542,22795390,21732762,4911556,8194995,,7583081,7239677,222871.0,40905939,71416980,1656142.0,3776420,113979063,6413182,715700,64966358,12605054,7055963.0,37440.0,353730,9146358,9038720,1721572,37440.0,23251186,56848640,26246673,64138146,13858162,19233009,33128420,1429284,,9000,0,-4616000,6228000,1168000,-123000,7239677,-26951000,-23503003,2487998,2996000,-5060000,-18168000,-1779000,-13160675,-893000,,,PARTNE1.HE
2018-12-31,,,19637428,820890,13906941,1593172,2092420,-1185951,-1185951,1401830,-222581,,,,5619275,11838239,13024190,9745819,20823379,,14018153,13906941,88499.0,29780861,69239547,820890.0,8412589,99841299,6413182,203348,62788925,5355067,832631.0,37440.0,31873,36096582,11124201,955788,37440.0,19520779,53119087,26248430,68318417,2251289,13296734,14466788,831954,101080.0,-6039000,0,18732000,13341000,8329000,1064000,13906941,34656000,7594996,268997,4237000,-5049000,6486000,-174000,-13956938,-333000,37000.0,,PARTNE1.HE
2017-12-31,,,7971941,820890,7567854,731099,969639,-760388,-760388,695840,-1845,,,,404087,33609393,34369781,32639754,8732329,,7567854,7567854,,267566,60344405,,72633,60611970,6413182,238128,53931223,16536,,,2000000,1440711,250407,52120,,2472398,20077253,36062319,60344405,128570,623,18269844,43401,,-2404000,0,7144000,-1000,-52136000,-698000,7567854,-36714000,8277998,302999,5627000,-52008000,10803000,758000,-10455854,-54000,37000.0,-127000.0,PARTNE1.HE
2016-12-31,,,4913240,820890,4660474,2808984,9398872,4289507,4289507,1664457,-2753,,,,252766,54530562,50241055,45131690,623733,,4660474,4660474,70824.0,6095350,105035324,,2855624,111130676,6413182,301304,98499096,175771,458624.0,123046.0,5000000,38155318,5890932,8960,123046.0,3456712,70487491,31657025,104505876,2031049,28647,29999820,2444169,,-2404000,0,-15000,-16000,-8730000,-2692000,4660474,25677000,34420997,635998,5627000,-8692000,31674000,-251000,393531,-33000,37000.0,-22000.0,PARTNE1.HE
