date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,company
2020-12-31,,,10411011,318523,6937228,16663427,45014503,11087772,11087772,9223984,-2143264,,,,3403775,128924084,117836312,83909581,-676761,,7007236,6937228,472310,82366260,71945543,318523.0,3671429,154630325,80000,283858,19384613,2973194,58215498,52480930,34668934,21249836,5000000,52480930,663624,95197824,81069,13257735,13481618,58143230,44272881,8606334,-15818,0,-8749963,-1206842,-2888842,-1155455,6937228,5068445,611264,16095982,8039319,-1682000,2012617,280957,-18682,-198858,,RELAIS.HE
2019-12-31,,,2490717,318523,383979,12401980,33126285,7818265,7818265,7426494,-1750487,,,,1931401,98945531,91127266,65819246,-5327548,,559316,383979,546537,79358947,63684981,,3243605,143043926,80000,284595,14129386,2320943,53730527,49475595,29600488,17528346,4762783,49475595,734514,87970322,62026,9407917,12149707,59509658,43093811,6559699,-7036,0,-64440545,42355113,90311674,-3799701,383979,27291927,-377701,1798496,5479545,-1682000,-3144495,3999602,-1120433,-391757,47956561.0,RELAIS.HE
2018-12-31,,,4844410,640651,3092263,9570724,24344935,5715273,5715273,6051159,-976423,,,,1522946,72451836,66736563,48106901,-870863,,3321464,3092263,332307,30516472,16528387,640651.0,2522136,47685511,3000,284582,13745408,98649,4946609,2779979,2308561,14976727,6105188,2779979,618744,41787169,682,11249471,8514888,15441096,29108785,3966911,-7036,0,-941109,-1653836,-1653836,1293051,3092263,2267589,-42534,3383164,3007777,-1682000,-2428591,-1301384,-279951,-207646,47956561.0,RELAIS.HE
