date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,capitalSurplus,otherCurrentAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,investments,issuanceOfStock,company
2019-12-31,,,862000,,1044000,5860000,9495000,880000,880000,2308000,-148000,,,,-215000,16849000,15969000,7354000,-18000,-33000,1077000,1044000,731000,6154000,11607000,1000,17761000,2872000,2358000,383000,2291000,6377000,3270000,2774000,3756000,400000,1426000,6377000,3421000,8043000,5000.0,8585000,2871000,2015000,2398000,2329000,,,-517000,2824000,-2838000,-2838000,1044000,2395000,2409000,580000,1162000,175000,-35000,-676000,,,,UUTEC.HE
2018-12-31,,,1881000,,573000,8115000,13531000,1980000,1980000,2904000,-127000,,,,235000,22122000,20142000,8591000,-99000,-1073000,1646000,573000,1018000,9778000,10580000,1000,20358000,2872000,1326000,648000,3070000,6376000,3050000,379000,7476000,180000,3144000,6376000,4534000,8681000,5000.0,6492000,4103000,1616000,3972000,4310000,6000.0,1000.0,1436000,-490000,1101000,1100000,573000,-228000,-839000,589000,-1492000,-2349000,404000,-510000,-1000.0,,,UUTEC.HE
2017-12-31,,,674000,,-566000,7957000,11827000,1043000,1043000,2296000,-162000,,,,100000,19125000,18082000,7298000,-369000,-1140000,574000,-566000,1969000,10438000,9909000,2092000,20347000,2872000,655000,635000,3534000,6376000,431000,373000,7635000,431000,1532000,6376000,4654000,9759000,,4406000,2297000,2109000,2829000,3991000,6000.0,4137000.0,-1607000,-193000,-1425000,-1425000,-566000,-1301000,316000,635000,-1001000,2654000,201000,-242000,-1000.0,24000.0,,UUTEC.HE
2016-12-31,,,190000,,716000,11973000,16959000,426000,426000,3522000,-195000,,,,-526000,36526000,36100000,19567000,-236000,-1140000,716000,716000,1918000,13230000,10475000,2771000,23705000,2872000,1188000,699000,3534000,6409000,732000,1909000,8922000,621000,1518000,6409000,5501000,11995000,25000.0,5023000,7187000,3530000,2728000,2367000,6000.0,,934000,-1011000,-338000,1419000,716000,1230000,822000,1038000,-44000,-1158000,-664000,-943000,1000.0,24000.0,1756000.0,UUTEC.HE
