date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,inventory,accountsPayable,otherCurrentAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToNetincome,capitalExpenditures,investments,dividendsPaid,company
2020-10-31,,,-10384000,,-8397000,,11795000,-12648000,-12648000,18408000,-2018000,,,,-1987000,28181000,40829000,16386000,2264000,,-8397000,-8397000,2048000,254000,108261000,77838000,18014000,186099000,7200000,70332000,3443000,52000,17205000,415000,99648000,3834000.0,52000,31600000,134888000,358000,75790000,130482000,3991000,985000,,0,2101000,30837000,30837000,-8397000,-341000,-33279000,5572000,-1000,-30917000,-1411000,,,SAGCV.HE
2019-10-31,,,-705000,,-680000,,23531000,-2509000,-2509000,22215000,-792000,,,,-25000,44677000,47186000,21146000,1804000,,-680000,-680000,2439000,254000,88798000,86233000,22348000,175031000,7200000,78728000,2558000,51000,9689000,757000,86240000,896000.0,51000,30105000,132440000,358000,83794000,130396000,1288000,1259000,-1000.0,0,-433000,1996000,228000,-680000,-2666000,-2461000,3099000,-1000,-5606000,-880000,243000.0,-1768000.0,SAGCV.HE
2018-10-31,,,-1736418,,-1509470,,23961018,-4474978,-4474978,24264467,-874801,,,,-226948,45746349,50221327,21785331,2738560,,-1509470,-1509470,2904643,254264,87119650,88933461,22488098,176053111,7200000,81427332,1914449,51865,16678197,3422552,85205201,,51865,32343839,123571629,554803,86028818,118574645,1574431,1668692,1.0,0,-1246451,14842056,11212334,-1509470,199628,-9766255,3165437,1,-12428314,-1107882,-202834.0,-3629722.0,SAGCV.HE
2017-10-31,,,9177810,,7255742,,31598761,5694825,5694825,21335406,-1194560,,,,1922068,52730488,47035663,21131727,3482985,,7255742,7255742,3774063,254264,90991526,93990126,31226338,184981652,7200000,86478372,2329055,57490,15774938,3222925,88662471,,57490,34586033,130494648,351970,90216063,125233607,2038116,1774781,,0,-1763674,-45546857,-47224517,7255742,-8592329,40395862,3429566,1,28571589,-1930719,-202834.0,-671064.0,SAGCV.HE
