date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,otherCashflowsFromFinancingActivities,company
2020-12-31,,,-4813000,,-4806000,24270000,35558000,-4057000,-4057000,8822000,-565000,,,,-7000,88385000,92442000,52827000,-756000,,-4806000,-4806000,4909000,1116000,40494000,11212000,7417000,51706000,7000000,1756000,4283000,972000,883000,-1187000,313000,11172000,33245000,314000,6000000,-1059000,10387000,35207000,7000,5420000,12656000,2900000,9473000,8885000,0,-1159000,-2960000,-2960000,-4806000,1552000,-47000,5718000,6535000,1000,3989000,-1219000,,,MARAS.HE
2019-12-31,,,-2700000,,-2541000,27915000,42518000,-2035000,-2035000,11689000,-450000,,,,-159000,106207000,108242000,63689000,-665000,,-2541000,-2541000,6722000,1116000,39788000,16080000,6634000,55868000,7000000,3181000,9129000,1037000,883000,-1165000,287000,9621000,32827000,287000,5748000,-1037000,9582000,38387000,7000,8475000,16847000,3086000,8587000,9839000,0,-3034000,-3783000,-4197000,-2541000,-973000,-16000,6274000,5283000,1000,3532000,-3040000,-414000.0,,MARAS.HE
2018-12-31,,,-2451000,,-2367000,27802000,41989000,-2682000,-2682000,14293000,-226000,,,,-84000,103100000,105782000,61111000,231000,,-2367000,-2367000,5893000,1116000,31205000,18790000,4780000,49995000,7000000,2023000,11742000,826000,883000,-1068000,166000,10594000,26423000,122000,6157000,-940000,4581000,38464000,8000,12014000,17153000,3829000,8544000,8612000,0,238000,-2984000,-4309000,-2367000,3310000,-16000,7397000,2593000,1000,7171000,-975000,-1125000.0,-200000.0,MARAS.HE
2017-12-31,,,28000,,-636000,27091000,46623000,251000,251000,16643000,-291000,,,,664000,109537000,109286000,62914000,-223000,,-636000,-636000,6414000,1116000,33814000,22625000,4268000,56439000,7000000,3083000,15448000,1058000,883000,-939000,742000,7283000,26550000,142000,6952000,-811000,5186000,43161000,53000,15328000,23714000,6127000,8863000,8503000,0,-1928000,4983000,3463000,-636000,-6142000,-55000,-7622000,2638000,1000,-9624000,-2165000,-1290000.0,-230000.0,MARAS.HE
