date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-09-30,,,13661000,157000,11712000,53862000,124680000,19456000,19456000,27143000,-4926000,,,,1907000,284397000,264941000,159717000,-5795000,,11754000,11712000,18995000,159013000,153122000,157000,544000,312292000,11002000,-1000,-25132000,2167000,145434000,167252000,7794000,21606000,56527000,5914000,167252000,73269000,65840000,960000,-11307000,6196000,49781000,36376000,20730000,,-600000,3486000,-10972000,-54729000,-18360000,45000000,11712000,12977000,42310000,24238000,-97000,-3659000,-693000,-8631000,7226000,-8914000,MUSTI.HE
2019-09-30,,,4004000,101000,2971000,50811000,109382000,12379000,12379000,24362000,-7553000,,,,988000,246648000,234269000,137266000,-8375000,,3016000,2971000,22190000,181091000,98319000,101000,833000,279511000,11002000,178000,-35012000,2179000,143995000,122329000,7992000,8629000,55569000,7271000,122329000,56880000,48134000,320000,-67866000,4951000,85374000,32533000,19378000,4697000.0,-600000,-3815000,-6552000,-18738000,-26278000,45000000,2971000,6666000,39495000,21830000,-97000,4885000,3362000,-7540000,10262000,-6369000,MUSTI.HE
