date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,otherCurrentAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,issuanceOfStock,company
2020-12-31,,,28500000,,23300000,44800000,90300000,31300000,31300000,4600000,-1000000,,,,5200000,724100000,692800000,633800000,-2800000,,23300000,23300000,600000,95600000,95700000,11700000,191300000,100000,70900000,400000,14000000,24700000,6000000,11200000,41200000,1300000,2000000,24900000,49300000,121400000,81100000,13600000,14900000,93600000,9600000,,-2900000,-4900000,-10400000,-20100000,23300000,-16400000,-500000,-1700000,10200000,9600000,-9200000,-22700000,2100000,800000,-800000,,,,KAMUX.HE
2019-12-31,,,24300000,,19000000,40200000,78900000,25300000,25300000,5000000,-800000,,,,5300000,658500000,633200000,579600000,-1000000,,19000000,19000000,700000,99800000,81700000,15700000,181500000,100000,56900000,400000,13600000,24700000,2000000,27600000,44100000,400000,3000000,24700000,48600000,116600000,67400000,15900000,16500000,70200000,8400000,200000.0,8900000,-2700000,-9900000,-16200000,19000000,14700000,-500000,300000,33300000,8400000,-6400000,600000,-4600000,1000000,-1000000,100000.0,100000.0,,KAMUX.HE
2018-12-31,,,19300000,,14600000,36900000,64000000,19000000,19000000,6900000,-600000,,,,4700000,527800000,508800000,463800000,300000,,14600000,14600000,900000,46100000,68900000,9400000,115000000,100000,44100000,600000,13600000,24700000,600000,12800000,26100000,400000,3000000,24700000,1800000,98100000,54400000,11800000,19400000,71000000,7100000,600000.0,5100000,-1300000,-3000000,-7500000,14600000,-5300000,-500000,800000,2700000,1200000,-4800000,-16300000,-900000,-1000000,-700000,100000.0,300000.0,,KAMUX.HE
2017-12-31,,,15500000,,11700000,30600000,53200000,16300000,16300000,5200000,-500000,,,,3800000,454900000,438600000,401700000,-800000,,11700000,11700000,1100000,44100000,58900000,4600000,103000000,100000,42300000,500000,13600000,16500000,400000,18100000,21200000,300000,3000000,24600000,1700000,86200000,44200000,11100000,22400000,55200000,7500000,,3400000,-1200000,-6300000,12000000,11700000,17400000,-500000,100000,6500000,1100000,-2200000,-7300000,-1600000,-800000,-600000,100000.0,300000.0,20500000.0,KAMUX.HE
