date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortTermInvestments,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,,,737000000,162000000,560000000,15000000,1224000000,859000000,859000000,-121000000,-47000000,,,,169000000,8580000000,7721000000,7356000000,-122000000,,568000000,560000000,363000000,5345000000,9351000000,162000000,232000000,14858000000,890000000,128000000,5735000000,1654000000,229000000,2726000000,634000000,1720000000,1739000000,421000000,15000000,2728000000,6954000000,4709000000,1969000000,8759000000,1519000000,1483000000,1285000000,1128000000,,-28000000,0,-879000000,742000000,71000000,-132000000,560000000,184000000,-13000000,1005000000,460000000,-2000000,-693000000,45000000,-6000000,22000000,66000000,-875000000,UPM.HE
2019-12-31,,,1307000000,113000000,1061000000,16000000,1723000000,1320000000,1320000000,-90000000,-45000000,,,,234000000,10238000000,8918000000,8515000000,-13000000,,1073000000,1061000000,326000000,4547000000,10062000000,113000000,261000000,14722000000,890000000,69000000,5912000000,1534000000,238000000,3260000000,628000000,1536000000,1818000000,395000000,21000000,3262000000,6770000000,4582000000,2178000000,9498000000,1556000000,691000000,1367000000,1130000000,,1000000,0,-415000000,-82000000,-783000000,-276000000,1061000000,648000000,-1000000,1847000000,469000000,-28000000,-693000000,282000000,270000000,-8000000,33000000,-403000000,UPM.HE
2018-12-31,,,1838000000,5000000,1495000000,44000000,1862000000,1444000000,1444000000,-48000000,-44000000,,,,342000000,10483000000,9039000000,8621000000,394000000,,1496000000,1495000000,295000000,4199000000,9792000000,5000000,334000000,13996000000,890000000,99000000,5623000000,1441000000,236000000,3279000000,649000000,888000000,2005000000,397000000,18000000,3281000000,6131000000,4494000000,2191000000,9261000000,1807000000,663000000,1642000000,1311000000,107000000.0,1000000,0,-199000000,-327000000,-959000000,158000000,1495000000,172000000,-1000000,1330000000,412000000,10000000,-613000000,-317000000,-50000000,-19000000,-379000000,-352000000,UPM.HE
2017-12-31,,,1186000000,4000000,973000000,42000000,1560000000,1129000000,1129000000,-58000000,-76000000,,,,212000000,10010000000,8881000000,8450000000,57000000,,974000000,973000000,294000000,4403000000,8660000000,4000000,307000000,13067000000,890000000,88000000,4752000000,1465000000,231000000,3018000000,735000000,716000000,2149000000,423000000,316000000,3020000000,5881000000,3923000000,2003000000,8135000000,1750000000,692000000,1311000000,1167000000,,-21000000,0,-222000000,-984000000,-1604000000,185000000,973000000,-275000000,-7000000,1558000000,438000000,-1000000,-507000000,-26000000,-68000000,-113000000,42000000,-305000000,UPM.HE
