date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,company
2020-12-31,,,379000000,840000000,37000000,1053000000,1626000000,96000000,96000000,477000000,-112000000,,,,267000000,8623000000,8527000000,6997000000,283000000,,112000000,37000000,1483000000,44271000000,11418000000,840000000,8175000000,56529000000,98000000,2491000000,9286000000,18422000000,2425000000,2034000000,16768000000,2160000000,20749000000,49000000,2034000000,371000000,13082000000,22400000000,7657000000,1883000000,4909000000,12276000000,0,-88000000,-8000000,-841000000,-791000000,37000000,-158000000,14000000,757000000,122000000,-833000000,1829000000,-160000000,,SAMPO.HE
2019-12-31,,,1541000000,635000000,1130000000,996000000,2692000000,1196000000,1196000000,500000000,-13000000,,,,304000000,11077000000,9881000000,8385000000,345000000,,1237000000,1130000000,836000000,39396000000,11908000000,635000000,7783000000,51939000000,98000000,791000000,10066000000,16103000000,1469000000,1744000000,14603000000,2399000000,18531000000,19000000,1744000000,302000000,11221000000,23508000000,9757000000,1430000000,4625000000,10526000000,0,530000000,-151000000,-1739000000,-1403000000,1130000000,317000000,-5000000,1530000000,78000000,-1588000000,2115000000,-64000000,,SAMPO.HE
2018-12-31,,,2095000000,628000000,1687000000,980000000,2641000000,1406000000,1406000000,255000000,-18000000,,,,317000000,7741000000,6335000000,5100000000,689000000,,1778000000,1687000000,836000000,36326000000,12386000000,628000000,7697000000,49340000000,98000000,705000000,10948000000,12920000000,1454000000,1340000000,12574000000,2179000000,18864000000,24000000,1340000000,162000000,9472000000,24842000000,10243000000,1357000000,4542000000,10959000000,0,406000000,873000000,-571000000,-1426000000,1687000000,-373000000,-18000000,-190000000,59000000,-1444000000,-129000000,-33000000,406000000.0,SAMPO.HE
2017-12-31,,,2482000000,660000000,2216000000,778000000,3217000000,2041000000,2041000000,398000000,-52000000,,,,243000000,7843000000,5802000000,4626000000,441000000,,2239000000,2216000000,871000000,35792000000,12848000000,660000000,5902000000,49300000000,98000000,3934000000,10696000000,17267000000,1402000000,2054000000,8429000000,2649000000,14972000000,18000000,2054000000,158000000,7843000000,30597000000,10727000000,1260000000,3553000000,8926000000,0,534000000,-353000000,-1639000000,497000000,2216000000,148000000,-14000000,1267000000,29000000,-1286000000,-1062000000,-12000000,406000000.0,SAMPO.HE
