date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,accountsPayable,longTermDebt,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,,,16360000,,12826000,2998000,32831000,17021000,17021000,10384000,-124000,,,,3534000,79455000,62434000,46624000,-661000,,12826000,12826000,3706000,31538000,29878000,16097000,61416000,500000,80000,7516000,2919000,6562000,21862000,990000,22046000,27246000,683000,29146000,3180000,46978000,19610000,24852000,1569000,,-794000,-630000,-1427000,-1725000,5063000,12826000,10101000,-5362000,-289000,12745000,2428000,-5924000,1000,4209000,-630000,QTCOM.HE
2019-12-31,,,117000,,-352000,3331000,15944000,225000,225000,9823000,-142000,,,,469000,58373000,58148000,42429000,-108000,,-352000,-352000,4082000,33056000,16940000,18640000,49996000,500000,84000,-5829000,2187000,6562000,22269000,3715000,11944000,28413000,3463000,24191000,4593000,31044000,6296000,19016000,1380000,2456000.0,7831000,-465000,-1563000,-3485000,5063000,-352000,2243000,-1922000,82000,6110000,2541000,-4838000,1000,904000,-465000,QTCOM.HE
2018-12-31,,,-2521000,,-2391000,4230000,10965000,-2322000,-2322000,7984000,-15000,,,,-130000,45590000,47912000,34625000,-199000,,-2391000,-2391000,4555000,20442000,18318000,12604000,38760000,500000,80000,-6356000,1537000,6562000,24174000,3163000,9702000,18666000,2985000,24174000,1212000,23268000,7201000,13486000,1007000,,2432000,-797000,-56000,-56000,5063000,-2391000,-1992000,-1922000,91000,-1230000,1048000,-2614000,1000,270000,-797000,QTCOM.HE
2017-12-31,,,-3694000,,-3222000,3994000,8154000,-3206000,-3206000,6452000,-204000,,,,-472000,36259000,39465000,28105000,-488000,,-3222000,-3222000,4995000,17177000,20308000,10159000,37485000,500000,189000,-4387000,1071000,6562000,24195000,2207000,11693000,15707000,2049000,24195000,1082000,22639000,8751000,10757000,1375000,,1118000,-384000,-6000000,8931000,14931000,-3222000,5273000,-1922000,-335000,-2939000,601000,-1456000,1000,-79000,-384000,QTCOM.HE
