date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortTermInvestments,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeToOperatingActivities,dividendsPaid,repurchaseOfStock,company
2020-12-31,21000000,,-150000000,,-116000000,264000000,236000000,-51000000,-51000000,2000000,-75000000,,,,-34000000,5639000000,5690000000,5403000000,-99000000,,-116000000,-116000000,144000000,714000000,3437000000,2360000000,111000000,5797000000,311000000,18000000,-453000000,464000000,466000000,1788000000,657000000,376000000,1820000000,264000000,2000000,1819000000,2304000000,2134000000,92000000,1750000000,527000000,979000000,1177000000,1225000000,,-13000000,47000000,-175000000,-95000000,-94000000,-116000000,51000000,-1000000,322000000,243000000,-11000000,237000000,-37000000,1000000,-52000000,-146000000,,,,OUT1V.HE
2019-12-31,17000000,,-42000000,,-75000000,275000000,295000000,-32000000,-32000000,35000000,-71000000,,,,33000000,6403000000,6435000000,6108000000,-10000000,,-75000000,-75000000,141000000,714000000,3476000000,2562000000,115000000,6038000000,311000000,15000000,-349000000,461000000,466000000,1886000000,591000000,325000000,1962000000,229000000,296000000,1919000000,2475000000,2291000000,74000000,1955000000,505000000,877000000,1424000000,1265000000,28000000.0,-13000000,-10000000,-65000000,9000000,-49000000,-75000000,257000000,-1000000,371000000,230000000,9000000,129000000,100000000,4000000,-3000000,-161000000,218000000.0,-62000000.0,,OUT1V.HE
2018-12-31,15000000,,175000000,,130000000,259000000,474000000,244000000,244000000,-44000000,-67000000,,,,45000000,6872000000,6628000000,6398000000,-69000000,,130000000,130000000,118000000,714000000,3248000000,2750000000,121000000,5998000000,311000000,16000000,-206000000,430000000,467000000,1931000000,554000000,68000000,2019000000,247000000,48000000,1971000000,2426000000,2292000000,141000000,2165000000,629000000,717000000,1555000000,1200000000,,-16000000,-27000000,-229000000,91000000,-29000000,130000000,-44000000,-1000000,214000000,204000000,5000000,-145000000,60000000,4000000,-8000000,-154000000,218000000.0,-103000000.0,-17000000.0,OUT1V.HE
2017-12-31,13000000,,327000000,,392000000,293000000,729000000,417000000,417000000,6000000,-91000000,,,,-65000000,6356000000,5939000000,5627000000,-90000000,,392000000,392000000,69000000,714000000,3166000000,2721000000,131000000,5887000000,311000000,43000000,-231000000,460000000,466000000,1927000000,522000000,112000000,2005000000,295000000,22000000,1953000000,2478000000,2211000000,141000000,2186000000,653000000,616000000,1380000000,1162000000,,-15000000,97000000,-63000000,-254000000,-353000000,392000000,-92000000,-3000000,328000000,216000000,5000000,-222000000,-54000000,-38000000,-101000000,-144000000,218000000.0,-41000000.0,-20000000.0,OUT1V.HE
