date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,changeToNetincome,capitalExpenditures,repurchaseOfStock,investments,company
2020-12-31,,,2169000,,1643000,,6345000,2351000,2351000,3155000,-782000,,,,526000,77474000,75123000,71129000,-182000,,1643000,1643000,3151000,20628000,23869000,379000,44497000,9603000,2932000,896000,16390000,11334000,129000,8541000,17793000,129000,11571000,1489000,22282000,1056000,4328000,13569000,764000,13219000,-2456000,-989000,-400000,-138000,331000,1643000,2747000,-441000,4246000,839000,-1000,-69000,4363000,-143000,-8000,,,DOV1V.HE
2019-12-31,,,2643000,,2091000,422000,7357000,2046000,2046000,4007000,-226000,,,,552000,83135000,81089000,75778000,597000,,2091000,2091000,3735000,25141000,24319000,6109000,49460000,9603000,2289000,1020000,17443000,12427000,149000,5794000,21394000,148000,12664000,2049000,25208000,876000,3141000,19054000,1135000,5245000,2992000,-220000,213000,-416000,364000,2091000,824000,180000,1280000,836000,-1000,-993000,-4141000,-544000,-84000,,,DOV1V.HE
2018-12-31,,,1058000,,844000,758000,6053000,539000,539000,4309000,-110000,,,,214000,65466000,64927000,59413000,519000,,844000,844000,2951000,15360000,22153000,3427000,37513000,9603000,1080000,826000,15185000,11470000,183000,4970000,14084000,183000,11707000,960000,17511000,723000,4017000,12279000,450000,2931000,1433000,-188000,152000,-1001000,364000,844000,-181000,-64000,1072000,413000,-1000,-993000,-1217000,-435000,-188000,-160000.0,,DOV1V.HE
2017-12-31,,,-398000,,-547000,801000,6193000,52000,52000,4856000,-108000,,,,149000,62681000,62629000,56488000,-450000,,-547000,-547000,3183000,13764000,22625000,2762000,36389000,9603000,1188000,788000,15177000,11834000,309000,5151000,11926000,183000,11918000,1010000,16649000,61000,4265000,10692000,1050000,2928000,-1636000,-337000,-427000,-1417000,81000,-547000,-3162000,-517000,-891000,484000,-1000,-1002000,628000,180000,-293000,-69000.0,3000.0,DOV1V.HE
