date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,company
2020-12-31,,,-32448000,2269000,-17672000,15605000,16291000,-29713000,-29713000,6258000,-1624000,,,,-4804000,59805000,89518000,43514000,-2735000,6073000,-27644000,-17672000,6232000,25223000,112789000,27535000,2269000,3828000,142593000,23642000,-188795000,46222000,42105000,167465000,2916000,1098000,31978000,2916000,2928000,167465000,61617000,29463000,260000,-20802000,11946000,34270000,13464000,8710000,47000,1616000,-863000,-727000,1275000,585000,-17672000,-4291000,-289000,-4415000,23773000,7191000,2134000,2002000,-22042000,-958000,,AFAGR.HE
2019-12-31,,,-5757000,7230000,-57577000,19799000,24612000,-8079000,-8079000,9274000,-1178000,,,,309000,97894000,105973000,73282000,2322000,-52812000,-6066000,-57577000,7010000,25223000,149062000,67306000,7230000,3429000,223598000,23642000,-169791000,65768000,45414000,188232000,3419000,5389000,65004000,3419000,6021000,188232000,110798000,55909000,1048000,14882000,16627000,17802000,29964000,12544000,-193000,-7289000,-795000,26031000,-3815000,9007000,-57577000,-6743000,182000,-2315000,-17457000,18124000,16079000,-3457000,36798000,-1684000,-26389000.0,AFAGR.HE
2018-12-31,,,-18541000,372000,-18056000,25953000,36295000,-2755000,-2755000,6565000,-1158000,,,,42000,194013000,196768000,157718000,-15786000,-52812000,-18583000,-18056000,13475000,25740000,107766000,150476000,372000,6109000,258614000,23642000,-108387000,51967000,56245000,209481000,26127000,12132000,53696000,3935000,7526000,209481000,44984000,117272000,511000,80756000,44531000,2028000,56965000,19426000,141000,4669000,-9955000,1460000,7978000,-107000,-18056000,1430000,338000,3069000,6532000,-7860000,5795000,6518000,12096000,-7497000,-26389000.0,AFAGR.HE
2017-12-31,,,4241000,969000,6261000,23908000,45642000,11227000,11227000,1515000,-1680000,,,,-951000,198814000,187587000,153172000,-6986000,1519000,5192000,6261000,16205000,25740000,87576000,171396000,969000,4054000,259941000,23642000,-89487000,50522000,62409000,211501000,24707000,10702000,34506000,3641000,1895000,211501000,45806000,110080000,734000,92782000,42932000,2517000,49944000,16407000,-591000,3805000,-68000,-1004000,222000,-1942000,6261000,1051000,-655000,1552000,6017000,-4035000,-14625000,6412000,6071000,-7601000,-5186000.0,AFAGR.HE
