date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,treasuryStock,otherStockholderEquity,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,investments,otherCashflowsFromInvestingActivities,dividendsPaid,company
2020-12-31,,,-14374000,,-11501000,1810000,4688000,2848000,2848000,30000,-1880000,,,,-2873000,9677000,6829000,4989000,-17222000,,-11501000,-11501000,69796000,57301000,58940000,6588000,116241000,24000000,11191000,-34856000,391000,1024000.0,4944000,7436000,1024000.0,530000,98883000,16334000,58940000,199000,41874000,150000.0,,,0,10344000,-13725000,-14487000,100000,-11501000,-4498000,-540000,-355000,6000,-322000,11140000,,,,OVARO.HE
2019-12-31,,,-7665000,,-6377000,1950000,5556000,3422000,3422000,184000,-2526000,,,,-1288000,10966000,7544000,5410000,-11087000,,-6377000,-6377000,70213000,88805000,71098000,12309000,159903000,24000000,20082000,-23114000,2469000,,9442000,33408000,,19865000,130191000,29712000,71098000,188000,45436000,130000.0,-1000.0,-1000.0,0,9790000,-3120000,-4244000,100000,-6377000,5853000,-1124000,306000,6000,-322000,6677000,-729000.0,,,OVARO.HE
2018-12-31,,,-11524000,,-14685000,3001000,7008000,3940000,3940000,67000,-2599000,,,,3161000,12813000,8873000,5805000,-15464000,,-14685000,-14685000,23205000,104529000,78706000,7512000,183235000,72131000,11899000,-16629000,3797000,167495000.0,3589000,17053000,,8448000,167512000,15723000,78706000,235000,83679000,,-1000.0,-1000.0,0,2997000,-4432000,-4549000,100000,-14685000,911000,-117000,2462000,-1000,-322000,17148000,-729000.0,-1000.0,,OVARO.HE
2017-12-31,,,-2697000,,-2761000,2301000,6352000,4021000,4021000,30000,-2662000,,,,64000,13294000,9273000,6942000,-6718000,,-2761000,-2761000,23309000,110243000,93320000,4926000,203563000,72131000,12384000,-2120000,805000,,2677000,8315000,,2134000,187969000,15594000,93320000,533000,101123000,125000.0,,,0,2459000,-3229000,-4608000,100000,-2761000,-1463000,-117000,685000,-1000,-322000,3446000,-729000.0,-1000.0,-1379000.0,OVARO.HE
