date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,company
2020-12-31,,,9857000,,7692000,12598000,24601000,12205000,12205000,-202000,-2172000,,,,2165000,75865000,63660000,51264000,-2348000,,7692000,7692000,77000,58346000,17022000,4370000,75368000,3000,-1000,13161000,5230000,24072000,3858000,1169000,5250000,17796000,1070000,3000000,3929000,20626000,29424000,-7127000,13284000,26652000,9906000,5541000,4000,1299000,-3197000,-3320000,-9516000,32000,7692000,78000,-6228000,81000,12709000,4177000,-149000,-2275000,1965000,-3201000,ORTHEX.HE
2019-12-31,,,2375000,,2019000,11865000,19118000,7370000,7370000,-117000,-2491000,,,,356000,66427000,59057000,47309000,-4995000,,2019000,2019000,113000,57151000,14365000,1999000,71516000,3000,6000,5569000,4714000,23337000,8793000,1338000,5173000,14046000,1236000,2500000,8890000,20471000,26257000,-9085000,10332000,29544000,9481000,5273000,-13000,1284000,-2637000,-4632000,-4632000,32000,2019000,1137000,-6228000,-62000,8468000,4160000,-622000,-68000,1695000,-2624000,ORTHEX.HE
