date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,otherCurrentAssets,minorityInterest,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,company
2020-12-31,,,122400000,,94500000,56200000,615600000,177000000,177000000,206600000,-24000000,,,,27900000,2789900000,2612900000,2174300000,-54600000,,94500000,94500000,384300000,42100000,1978600000,1626200000,112200000,3604800000,76600000,438200000,95600000,1974400000,1069300000,67900000,252300000,826100000,35600000,25900000,1069600000,321500000,823600000,33100000,-732500000,35900000.0,457200000,885900000,4900000.0,189700000,,,0,-65300000,-115800000,-191900000,-22400000,94500000,87600000,-900000,-9900000,354700000,162500000,-75300000,89600000,100000,17200000,-83500000,,TIETO.HE
2019-12-31,,,100700000,,78700000,38500000,452900000,116900000,116900000,190900000,-11000000,,,,22000000,1737600000,1620700000,1284700000,-16200000,,78700000,78700000,438500000,40900000,2146600000,1687100000,86400000,3833700000,76600000,419200000,120300000,2023100000,1150400000,100400000,164600000,1211900000,53200000,351400000,1153300000,396200000,841500000,34000000,-774500000,13600000.0,567800000,591500000,5200000.0,219200000,15600000.0,,0,-762400000,590400000,483000000,53700000,78700000,87600000,-900000,1000000,278400000,99200000,-92635000,12900000,100000,26500000,-51400000,-534300000.0,TIETO.HE
2018-12-31,,,152800000,,123200000,74600000,446600000,140700000,140700000,176300000,-4300000,,,,29600000,1599500000,1458800000,1152900000,12100000,,123200000,123200000,43500000,41500000,715100000,482500000,47200000,1197600000,76600000,450000000,54600000,442600000,-85600000,51900000,164600000,475000000,23600000,100000000,-80500000,87200000,555400000,17000000,-3600000,3600000.0,348100000,185500000,,101500000,,,0,-49300000,65700000,-41200000,-23500000,123200000,86400000,-900000,2700000,174200000,47800000,-88629000,20300000,-3500000,-800000,-45000000,-534300000.0,TIETO.HE
2017-12-31,,,135700000,400000,107700000,89000000,457000000,153300000,153300000,160000000,-3600000,,,,28000000,1543400000,1390100000,1086400000,-17600000,,107700000,107700000,47500000,42600000,673700000,475800000,47900000,1149900000,76600000,433900000,57500000,441300000,-77300000,48600000,78200000,513700000,25700000,117400000,-65700000,92800000,502500000,17200000,-13000000,,379800000,100800000,,104200000,1800000.0,400000.0,0,-87900000,60800000,-40200000,12500000,107700000,21500000,-900000,-1400000,151000000,48900000,-84781000,-27900000,-3500000,4000000,-47000000,-534300000.0,TIETO.HE
