date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,minorityInterest,cash,otherCurrentLiab,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,repurchaseOfStock,otherCashflowsFromInvestingActivities,capitalExpenditures,issuanceOfStock,dividendsPaid,changeToInventory,company
2020-12-31,,,300000,,300000,10100000,13700000,300000,300000,500000,-400000,,,,0,18600000,18300000,4900000,0,,300000,300000,500000,13700000,19100000,3300000,32800000,700000,-2500000,1900000,9100000,20900000,6400000,6500000,3100000,1900000.0,20900000,2700000,11200000,2900000,9500000,11200000,3600000,500000,,,,-100000,0,-1100000,-2100000,-2500000,-800000,300000,100000,3700000,1300000,1800000,-400000,-300000,,,,,,,EAB.HE
2019-12-31,,,-1700000,100000,-1500000,12200000,14400000,-1100000,-1100000,400000,-400000,,,,-200000,18300000,19400000,3900000,-600000,,-1500000,-1500000,1900000,16000000,19200000,2600000,35300000,700000,-2500000,700000,9100000,21000000,5800000,8000000,2900000,1900000.0,21000000,3000000,13100000,2400000,8200000,13100000,5500000,1600000,100000.0,500000.0,,-400000,0,-1900000,300000,-1100000,1200000,-1500000,-500000,2500000,1700000,300000,-400000,-100000,-1400000.0,100000.0,-1600000.0,,,,EAB.HE
2018-12-31,,,1500000,100000,1400000,11200000,15400000,1500000,1500000,400000,-300000,,,,100000,19500000,18000000,4100000,0,,1400000,1400000,2000000,14300000,22000000,2300000,36400000,700000,-1000000,2200000,9100000,22300000,5600000,4600000,2800000,1500000.0,22300000,3200000,14300000,2200000,10900000,14300000,5500000,700000,100000.0,,,-400000,0,-4100000,1900000,3300000,-1600000,1400000,-900000,2500000,1500000,-2100000,-1100000,-100000,-700000.0,100000.0,-400000.0,3200000.0,,,EAB.HE
2017-12-31,,,-2700000,100000,-2300000,11000000,10600000,-2500000,-2500000,400000,-100000,,,,-400000,17500000,20000000,6900000,-200000,,-2300000,-2300000,2000000,13800000,17600000,1900000,31500000,700000,-2600000,3500000,9000000,19500000,5200000,7000000,2900000,,19500000,1900000,11800000,1600000,6600000,10600000,2500000,900000,100000.0,,700000.0,-100000,0,1600000,1200000,-300000,-1600000,-2300000,1100000,-200000,1000000,1100000,-900000,-600000,-700000.0,100000.0,-1000000.0,100000.0,-325068.0,100000.0,EAB.HE
