date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest.1,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome.1,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,company
2017-12-31,,,30380000,778000.0,24208000,18333000.0,71491000,0,30833000,22325000.0,,,,,6292000,71491000,40658000,0,-453000,,24088000,24208000,5561000.0,,2485082000.0,240707000.0,778000.0,69000.0,2867000.0,2726567000.0,24000000.0,27512000.0,106439000.0,35177000.0,954000.0,110268000.0,2147885000.0,323658000.0,1924486000.0,1128000.0,260294000.0,110268000.0,17348000.0,368802000.0,186017000.0,234192000.0,1000.0,15623000.0,525419000.0,,1639422000.0,-76000.0,0,-4130000,-4800000.0,150634000.0,89236000.0,2577000.0,24208000,268247000,,121743000,2368000.0,1000.0,-1576000.0,,,154433000.0,5979000.0,-5317000.0,,OMASP.HE
2020-12-31,,,8085434,,6735055,17351795.0,38955380,8713861,8713861,9635443.0,-236489.0,,,,1350379,81561340,72847479,42605960,-628427,,6735055,6735055,2407171.0,5130025.0,17338615.0,58459969.0,,1715267.0,1853787.0,75798584.0,80000.0,,30797069.0,,,22452875.0,2769749.0,25186729.0,17338615.0,,5822959.0,22452875.0,4950313.0,65660850.0,10501.0,56052798.0,,24564758.0,,15909363.0,7385790.0,,0,-3080551,196268.0,-5266395.0,141629.0,,6735055,-825206,,7521741,2774787.0,,-5462663.0,-1814107.0,1530399.0,,-2325516.0,-3080551.0,,DETEC.HE
2019-12-31,,,16879087,,12475054,18016128.0,49864249,17019487,17019487,11947564.0,-230918.0,,,,4404033,102480113,85460626,52615864,-140400,,12475054,12475054,2555032.0,5130025.0,18568563.0,58354555.0,,1566446.0,2797430.0,76923118.0,80000.0,,30691655.0,-1000.0,,22452875.0,2522214.0,26011935.0,18568563.0,,5626691.0,22452875.0,5184757.0,66650615.0,10500.0,55799523.0,,26517354.0,,14121326.0,6891817.0,,0,-4041434,1571102.0,-3891562.0,-1075163.0,,12475054,3666302,,11599298,2642506.0,,-5462663.0,-1224419.0,-172224.0,-1.0,-1285020.0,-4041434.0,,DETEC.HE
2018-12-31,,,18444926,,14866197,14967906.0,46803697,18521822,18521822,10963201.0,-130048.0,,,,3578729,93916146,75394324,47112449,-76896,,14866197,14866197,404156.0,5130025.0,19656814.0,51383572.0,,834054.0,2931062.0,71040385.0,80000.0,,23720672.0,-1000.0,,22452875.0,3140374.0,22345633.0,19656814.0,,4055590.0,22452875.0,5191596.0,62293759.0,10500.0,50979416.0,,26659340.0,,13288786.0,9320081.0,,0,-4740826,-670079.0,-5535288.0,-634274.0,,14866197,-4154384,,6121730,1793768.0,,-5462663.0,-4721007.0,-4650926.0,-1.0,-1089028.0,-4740826.0,,DETEC.HE
2017-12-31,,,19368606,,15152072,13411841.0,45516350,19892794,19892794,9985717.0,-466286.0,,,,4216534,89003049,69110255,43486699,-524188,,15152072,15152072,305282.0,5130024.0,20733360.0,41638934.0,,903479.0,3365024.0,62372293.0,80000.0,,13976035.0,,,22452875.0,1280081.0,26500016.0,20733360.0,,4725668.0,22452875.0,4260110.0,56516320.0,10500.0,41333652.0,,21448524.0,,8567780.0,8709739.0,,0,-1832647,-2597828.0,-5954271.0,-998285.0,,15152072,10837656,,18624577,1552169.0,,-5462663.0,2028077.0,-402844.0,-1.0,628048.0,-1832647.0,,DETEC.HE
2020-12-31,,,37257000,16062000.0,22915000,123410000.0,166321000,41797000,41797000,1114000.0,-5119000.0,,,,12589000,1504036000,1462239000,1337715000,-4540000,,24668000,22915000,83932000.0,,500651000.0,422822000.0,16062000.0,,60811000.0,939535000.0,48055000.0,407000.0,190407000.0,47886000.0,164829000.0,184360000.0,6118000.0,26576000.0,288736000.0,1481000.0,10130000.0,185566000.0,429800000.0,239176000.0,15680000.0,174061000.0,,105661000.0,139476000.0,106532000.0,120251000.0,-149000.0,0,-43242000,-22440000.0,-34378000.0,,,22915000,22181000,-2420000.0,102221000,55878000.0,510000.0,-11828000.0,,,-110000.0,23428000.0,-40840000.0,,ATRAV.HE
2019-12-31,,,26183000,14420000.0,15086000,128315000.0,162726000,33709000,33709000,702000.0,-5411000.0,,,,9223000,1451273000,1417564000,1288547000,-7526000,,16960000,15086000,84677000.0,,494398000.0,419876000.0,14420000.0,,51423000.0,928694000.0,48055000.0,1051000.0,179506000.0,54328000.0,160779000.0,192315000.0,9264000.0,4395000.0,273328000.0,4048000.0,13854000.0,193561000.0,432078000.0,225662000.0,16234000.0,174420000.0,,105925000.0,141746000.0,114291000.0,111246000.0,-51000.0,0,-37093000,-39947000.0,-51528000.0,,,15086000,413000,545000.0,88489000,53946000.0,59000.0,-11263000.0,,,-318000.0,19457000.0,-39418000.0,,ATRAV.HE
2018-12-31,,,22341000,12864000.0,16362000,123223000.0,152855000,29148000,29148000,484000.0,-5565000.0,,,,4540000,1438505000,1409357000,1285650000,-6807000,,17801000,16362000,86747000.0,,471396000.0,415321000.0,12864000.0,,48796000.0,899581000.0,48055000.0,4221000.0,176016000.0,55443000.0,162590000.0,191250000.0,14892000.0,3982000.0,262233000.0,5115000.0,9063000.0,192527000.0,401175000.0,218508000.0,15669000.0,165984000.0,,101035000.0,153058000.0,109270000.0,89615000.0,-566000.0,0,-45180000,12581000.0,-2176000.0,,,16362000,845000,1042000.0,47159000,45070000.0,-151000.0,-14077000.0,,,-680000.0,-14273000.0,-44463000.0,,ATRAV.HE
2017-12-31,,,35514000,12105000.0,25859000,135060000.0,173313000,39555000,39555000,-1302000.0,-8030000.0,,,,7146000,1436188000,1396633000,1262875000,-4041000,,28368000,25859000,89094000.0,,479122000.0,418573000.0,12105000.0,,49741000.0,909800000.0,48055000.0,2192000.0,173937000.0,60291000.0,166800000.0,196581000.0,15179000.0,3137000.0,295081000.0,6023000.0,60596000.0,197858000.0,409302000.0,213514000.0,15911000.0,162679000.0,,112030000.0,123326000.0,96155000.0,106281000.0,671000.0,0,-45337000,-3477000.0,-16594000.0,,,25859000,-1454000,-4030000.0,64507000,46054000.0,797000.0,-12952000.0,,,-165000.0,-7406000.0,-53144000.0,,ATRAV.HE
2020-12-31,2767000.0,,33910000,,30116000,27951000.0,69770000,39315000,39315000,-263000.0,-4200000.0,,,,3794000,458893000,419578000,389123000,-5405000,,30116000,30116000,16748000.0,24681000.0,171499000.0,145882000.0,,,2208000.0,317381000.0,11860000.0,-1000.0,41962000.0,15907000.0,15496000.0,67379000.0,16618000.0,57877000.0,57838000.0,4034000.0,,67423000.0,113918000.0,153833000.0,768000.0,113638000.0,,58120000.0,82862000.0,35431000.0,42024000.0,,0,-10873000,-16968000.0,-19845000.0,-1023000.0,,30116000,20135000,-6138000.0,56991000,21432000.0,,-2876000.0,,,-1000.0,6466000.0,-10885000.0,,SUY1V.HE
