date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,longTermInvestments,otherLiab,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,company
2020-12-31,,,-4116634,,-4121611,4021657,3179648,-3332714,-3332714,2123755,-2755582,,,,4977,4154517,7487231,974869,-783920,,-4121611,-4121611,282033,7700473,-1469135,50106,1592392,6231337,80000,-49859866,48310731,50106,3455832,3808615,48310731,514717,5384481,-1751168,1232228,3891858,446424,198083,,,0,9500,-319200,1904900,391200,2224100,-4121611,-810300,-2724702,337779,38700,-300900,901015,,,NXTMH.HE
2019-12-31,,,-6776913,,-6782636,5171905,2343573,-6517446,-6517446,3164482,-1545545,,,,5723,3386990,9904436,1043417,78833,,-6782636,-6782636,290265,8394783,-740063,73668,517419,7654718,80000,-46906708,46086645,73668,4266175,3106364,46086645,859387,6431398,-1030328,1422636,5288419,485082,739710,,,0,-843300,-1990200,4615800,428700,6606000,-6782636,-2909000,-6681501,487725,-226300,65500,-691362,-843300.0,,NXTMH.HE
2018-12-31,,,-6152589,,-6154315,4410803,2023224,-6315633,-6315633,3504008,-695093,,,,1726,2733569,9049202,710345,163044,,-6154315,-6154315,358229,9956327,-294272,71638,290634,9662052,80000,-39854867,39480595,71638,7175151,2792891,39480595,464740,8757445,-652501,1015783,7163436,258765,597131,10000.0,,0,-610800,4543400,5504800,-109900,961500,-6154315,-1298400,-6192502,388917,128300,703000,-1183682,-610800.0,-100.0,NXTMH.HE
2017-12-31,,,-7325118,,-7327922,3549771,2132012,-5591944,-5591944,3832883,-1733556,,,,2804,2684148,8276092,552136,-3466730,,-7327922,-7327922,470038,5522886,5520788,70498,113049,11043671,80000,-33078325,38519113,70498,8473596,1785647,38519113,167287,10325848,5050750,1347972,3723839,387099,961494,10000.0,13400.0,0,-147800,-897300,5868000,481400,6765300,-7327922,317200,-5402901,306745,-94800,-1941700,3138824,-147800.0,-100.0,NXTMH.HE
