date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,deferredLongTermLiab,otherCurrentAssets,shortLongTermDebt,capitalSurplus,minorityInterest,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,company
2020-12-31,,,-3300000,,-5500000,,7600000,-500000,-500000,,-2800000,,,,2200000,172400000,172900000,164800000,-2800000,,-5500000,-5500000,18600000,138400000,68900000,5800000,207300000,12700000,-53200000,8600000,58300000,109400000,3800000,23300000,79200000,1600000,109400000,30000000,93800000,2800000,-8000000,45400000,44000000,25100000,67200000,,,,,,0,-2200000,5900000,5900000,-2300000,-5500000,3400000,-1000000,700000,3000000,-3400000,,,,,,GLA1V.HE
2019-12-31,,,-4353000,,-6393000,56536000,93916000,-1270000,-1270000,30557000,-2115000,,,,2042000,182350000,183620000,88434000,-3083000,,-6395000,-6393000,14491000,143242000,73429000,51948000,216671000,12696000,-53223000,9048000,58327000,113956000,10126000,19861000,86644000,1256000,113956000,32396000,98253000,3078000,611000,33824000,39320000,42556000,14608000,2902000.0,-1000.0,3644000.0,,,0,-72451000,30429000,75081000,12866000,-6393000,12009000,-1457000,10835000,579000,-4586000,45808000.0,6962000.0,-10056000.0,5746000.0,1000.0,GLA1V.HE
2018-12-31,,,2594000,67000,2083000,26939000,50606000,3337000,3337000,15474000,-887000,,,,671000,101487000,98150000,50881000,-743000,,1923000,2083000,1569000,62473000,36332000,21308000,98872000,12696000,-42666000,880000,30551000,41032000,9160000,7852000,45952000,617000,44340000,14542000,40035000,3015000,4212000,24941000,8089000,5774000,11072000,3155000.0,1000.0,2644000.0,25270000.0,67000.0,0,-1492000,-624000,-3045000,-462000,2083000,-4535000,41000,-40000,-1904000,-1846000,45808000.0,3517000.0,3547000.0,-8159000.0,-493000.0,GLA1V.HE
2017-12-31,,,3767000,228000,2640000,28318000,58016000,4511000,4511000,22196000,-411000,,,,1163000,110817000,106306000,52801000,-744000,,2604000,2640000,1956000,59551000,36885000,18389000,96664000,12696000,-44065000,2319000,30551000,42984000,7706000,12386000,46619000,1011000,46292000,7731000,45721000,2999000,4378000,22383000,10613000,10952000,11160000,3954000.0,,2644000.0,25270000.0,228000.0,0,-2061000,-3184000,-2799000,-4555000,2640000,-4987000,-245000,117000,1782000,-2281000,45808000.0,1741000.0,215000.0,-2956000.0,385000.0,GLA1V.HE
