date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,otherCurrentAssets,shortLongTermDebt,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,dividendsPaid,company
2020-12-31,,,2737000,,1980000,484000,17904000,5499000,5499000,7039000,-1971000,,,,757000,60731000,55232000,42827000,-2762000,,1980000,1980000,7472000,75000,48172000,26509000,5623000,74681000,1009000,12614000,568000,38949000,12811000,4018000,4877000,18636000,12811000,7310000,16491000,441000,-19912000,11540000,24138000,74000,4671000,,,38000,0,631000,-5703000,-5704000,-60000,1980000,1230000,6302000,3940000,-1000,-1000,-500000,-3477000,,,SOLTEQ.HE
2019-12-31,,,3679000,,2803000,261000,16173000,3196000,3196000,8713000,-1916000,,,,876000,58370000,55174000,42197000,483000,,2803000,2803000,6343000,75000,52452000,24528000,5529000,76980000,1009000,10633000,587000,38840000,12811000,3971000,3648000,45508000,12811000,7896000,19449000,481000,-20655000,15638000,1201000,164000,3895000,-1000.0,26461000.0,38000,0,-4668000,-1160000,-1160000,-595000,2803000,-1700000,4128000,3667000,-1000,-1000,-2083000,-4668000,,,SOLTEQ.HE
2018-12-31,,,642000,,356000,2943000,15176000,3024000,3024000,9852000,-1669000,,,,286000,56867000,53843000,41691000,-2382000,,356000,356000,4700000,75000,46077000,21797000,5191000,67874000,1009000,7859000,814000,40427000,12854000,2485000,5347000,19712000,12854000,2355000,17426000,481000,-23330000,11985000,24380000,94000,5327000,,2002000.0,38000,0,-5595000,1387000,1387000,5675000,356000,3795000,8002000,2241000,-1000,-1000,-329000,-3304000,,,SOLTEQ.HE
2017-12-31,,,-1456000,,-1514000,2287000,11564000,557000,557000,6644000,-1693000,,,,58000,50720000,50163000,39156000,-2013000,,-1514000,-1514000,4894000,75000,40981000,20520000,4003000,61501000,1009000,7518000,988000,36912000,11918000,517000,1552000,14823000,11918000,2220000,16402000,556000,-21286000,14701000,24306000,149000,2759000,,,38000,0,-3469000,-1172000,-1385000,-1216000,-1514000,-6925000,-2071000,2076000,-1000,-1000,-1417000,-1074000,669000.0,-882000.0,SOLTEQ.HE
