date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,investments,company
2020-12-31,,,170400000,9100000,122200000,966000000,1705900000,216400000,216400000,393500000,-24100000,,,,47500000,3178900000,2962500000,1473000000,-46000000,,122900000,122200000,536000000,792000000,2765400000,1242000000,9100000,531600000,4016500000,30100000,57500000,367500000,468400000,1016700000,52400000,139700000,591900000,1437300000,118900000,87800000,52400000,341800000,1975800000,6500000,-310700000,661200000,768800000,644800000,201600000,0,-165100000,83900000,-12400000,-33100000,122200000,213700000,-15900000,407100000,112400000,-95000000,42400000,115700000,-1300000,29900000,-43800000,,,KCR.HE
2019-12-31,,,118500000,9200000,81000000,1080700000,1821900000,149500000,149500000,468900000,-21700000,,,,35700000,3326900000,3177400000,1505000000,-31000000,,82800000,81000000,531600000,792000000,2607500000,1237500000,9200000,523000000,3854200000,30100000,45000000,353400000,452600000,908200000,62000000,140000000,378200000,1369100000,123400000,8900000,62000000,332800000,1867700000,73900000,-202300000,770100000,687400000,658700000,236200000,0,-23200000,94700000,-4500000,46700000,81000000,147700000,2600000,172800000,99800000,-94600000,-18900000,-40300000,-4600000,-18500000,-40700000,,,KCR.HE
2018-12-31,,,138700000,18400000,101800000,1006500000,1784200000,179900000,179900000,491700000,-23700000,,,,40400000,3156100000,2976200000,1371900000,-41200000,,98300000,101800000,582000000,792000000,2282800000,1265800000,18400000,492000000,3567000000,30100000,35700000,391200000,433600000,906100000,52500000,134700000,230500000,1264600000,119500000,22500000,52500000,236700000,1636500000,71000000,-222300000,719300000,572500000,635800000,211200000,0,-35000000,20100000,-75200000,-4300000,101800000,-2600000,-1600000,109200000,81800000,-94600000,-91100000,3900000,-700000,-7200000,-38300000,-35000000.0,,KCR.HE
2017-12-31,,,276000000,22500000,226100000,1004200000,1727700000,111300000,111300000,501400000,-35200000,,,,50600000,3137200000,3025900000,1409500000,164700000,,225400000,226100000,633300000,792000000,2284000000,1256400000,22500000,504000000,3562900000,30100000,75300000,384300000,451800000,905300000,50000000,130900000,233100000,1231400000,118400000,20600000,50000000,270400000,1553200000,69800000,-282200000,683300000,586500000,545500000,201200000,0,-542000000,411300000,340000000,105000000,226100000,38900000,-8600000,249400000,87400000,-82300000,-1900000,13000000,11000000,-203600000,-28700000,-35000000.0,2800000.0,KCR.HE
